pl_name,pl_trandur,st_teff,st_rad,st_mass,ra,dec,sy_vmag,designation,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,parallax,pmra,pmdec,ruwe,cluster,nn_source_id,nn_sep_arcsec,nn_dG,vis_waltzer_2026,cluster_center_ra,cluster_center_dec
Gaia DR3 65287458566524928,2.5,11576.751953125,,,56.20099235353907,24.28926774500748,5.458857570944716,Gaia DR3 65287458566524928,65287458566524928,5.4413247,5.419782,5.4410043,-0.021222115,11576.752,3.8951,7.385246890845397,19.84914439143686,-44.96559622643841,0.9633128,M45,65275089060719104,217.58130920053216,5.7521615,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 69812945346809600,2.5,11636.8125,,,56.29068291043696,24.839057004118633,5.658600894814548,Gaia DR3 69812945346809600,69812945346809600,5.6404076,5.600362,5.680828,-0.08046627,11636.8125,3.8595,7.222157170572348,20.218136384021552,-46.12398123648605,0.89882505,M45,69819027020489088,258.1308603748987,3.9300737,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66453490649681280,2.5,10090.47265625,,,57.431468357888065,23.711649593760512,6.176860756334439,Gaia DR3 66453490649681280,66453490649681280,6.1591687,6.129117,6.178773,-0.049655914,10090.473,3.8918,7.46248486399861,17.868504681193286,-45.57243824211501,1.0356296,M45,66452769091505024,96.46527703128089,5.1938214,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66715105696289024,2.5,10292.97265625,,,56.837760020213594,24.116067483641807,6.316509521054223,Gaia DR3 66715105696289024,66715105696289024,6.29883,6.2923536,6.2829795,0.009374142,10292.973,3.9139,7.199902345703015,20.344160878448307,-45.07643568357508,1.157944,M45,66715273197982848,85.47666239017603,1.9450722,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66786505232432512,2.5,10877.845703125,,,56.51218035590119,24.527697326214305,6.44279813939402,Gaia DR3 66786505232432512,66786505232432512,6.4252644,6.4090815,6.425955,-0.01687336,10877.846,4.0141,7.423127367767808,19.582296508324045,-44.877584847283686,0.78916544,M45,66799763794633856,150.5367679285594,5.9890146,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66504755379545728,2.5,6690.26416015625,,,57.23749155579294,23.856874540730196,6.446017129883963,Gaia DR3 66504755379545728,66504755379545728,6.385194,6.569959,6.0548434,0.51511574,6690.264,3.7043,11.594324054546423,48.0769414241189,-57.90327317993762,0.9815908,M45,66504544921636736,90.56186170997994,5.828992,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66745617143891968,2.5,10631.9111328125,,,57.340716620829006,24.380752387790455,6.622445011579889,Gaia DR3 66745617143891968,66745617143891968,6.604883,6.5822644,6.6148195,-0.032555103,10631.911,4.0267,7.189385624305486,18.566769795996994,-45.34756663616908,0.9828397,M45,66746441777612416,86.90876203169267,0.9209628,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66789872486779520,2.5,9843.775390625,,,56.747585269534376,24.51991333978582,6.820854387341837,Gaia DR3 66789872486779520,66789872486779520,6.8028107,6.802068,6.7674193,0.034648895,9843.775,3.9684,7.271150194177561,22.271845514767694,-47.52140397943802,0.92515117,M45,66789185292165632,121.02597805585337,5.401657,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66507469798631808,2.5,11050.8701171875,,,57.491988012399965,23.84848726390722,6.824923025338836,Gaia DR3 66507469798631808,66507469798631808,6.806421,6.811625,6.7562876,0.05533743,11050.87,4.1342,7.389021187429237,18.377840455207256,-45.870328430863225,0.9739202,M45,66507469798632320,10.11130739065778,3.4282546,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66729880383767168,2.5,11108.8125,,,56.87281395748792,24.288130246334337,6.835965428623025,Gaia DR3 66729880383767168,66729880383767168,6.815936,6.841812,6.7403946,0.10141754,11108.8125,4.1204,7.230057778664303,18.551020432929977,-46.92179879334844,1.1449239,M45,66730052182455936,187.58585393216123,4.8738127,0914-0130,56.65833333333333,24.178055555555556
