# primary diameter: 35.0 cm
# duty-cycle efficiency: 0.6
# instrumental resolution = lambda/FWHM = 3000.0
#
# SNR stats are per HWHM! resolving element
# Number of transits (for stats): 1
# total in-transit time (for stats): 2.5 h
#
# Wavelength ranges per band (angstrom)
# NUV  0.24 0.32
# VIS  0.425 0.797
# NIR  0.9 1.6
#
target,teff,r_star,m_star,ra,dec,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_median_snr,NUV_max_snr,NUV_transit_uncert,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_median_snr,VIS_max_snr,VIS_transit_uncert,NIR_min_flux,NIR_median_flux,NIR_max_flux,NIR_snr,NIR_transit_uncert
#name,  K,  R_sun,  M_sun,  deg,  deg,  ,  h, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ppm
Gaia DR3 65287458566524928,11576.751953125,nan,nan,56.20099235353907,24.28926774500748,5.458857570944716,2.5,3633.0550396338604,12992.968101213844,14403.047407039145,896.9987608857722,1583.6389896817034,1738.233765964985,893.0151199784106,9083.424076754427,21865.549332940645,31685.1230687132,1591.999978810002,2551.20367892631,2811.7524244346237,554.3318920613488,4936.715769323258,8979.916800308445,13977.076838433248,114062.20516422257,12.398616705129998
Gaia DR3 69812945346809600,11636.8125,nan,nan,56.29068291043696,24.839057004118633,5.658600894814548,2.5,3022.5580311769313,10809.635321987145,11982.765506892958,817.4380832283778,1444.0470485554843,1585.0927910409762,979.3403641437914,7557.049396242269,18191.271814322878,26360.768597059367,1451.874492302805,2326.863579941673,2564.5278382397205,607.7767405721933,4107.152171773761,7470.935438073722,11628.374849680533,103926.98034435677,13.607761504155807
Gaia DR3 66453490649681280,10090.47265625,nan,nan,57.431468357888065,23.711649593760512,6.176860756334439,2.5,1875.299782190103,6706.6724793315725,7434.523113642758,641.7930740378968,1136.2414298380172,1247.4452941913275,1244.6417858348166,4688.655417231063,11286.495650135535,16355.13465697804,1142.9822088279486,1832.4240048121083,2019.663534907688,771.7720127324488,2548.2195854317024,4635.22733236676,7214.646864642539,81544.1018458279,17.34292892264472
Gaia DR3 66715105696289024,10292.97265625,nan,nan,56.837760020213594,24.116067483641807,6.316509521054223,2.5,1648.9640873808298,5897.223563545443,6537.227667611848,601.1161486669491,1065.0627887123028,1169.375705379942,1327.8217747921956,4122.76718343577,9924.293798892366,14381.183184556285,1071.5781466371072,1718.156053447328,1893.7456246452439,823.0996011890776,2240.667131219976,4075.787498355296,6343.888958935662,76358.45055709466,18.520721047314346
Gaia DR3 66786505232432512,10877.845703125,nan,nan,56.51218035590119,24.527697326214305,6.44279813939402,2.5,1467.897564660293,5249.6717020292635,5819.399371007115,566.4790474032707,1004.4962371838706,1102.9497126508754,1407.8833847480375,3670.0616796568693,8834.544554276214,12802.03973821798,1010.830643927856,1620.953420381711,1786.6343726102875,872.4578662106579,1994.627930530882,3628.2406564788134,5647.2904562089025,71941.93132980872,19.65770915837401
Gaia DR3 66504755379545728,6690.26416015625,nan,nan,57.23749155579294,23.856874540730196,6.446017129883963,2.5,19.107822320206477,635.321188181776,2951.5949748986545,41.57802602144869,335.7693473065617,754.5036995107424,4211.860235955071,2722.1337228253974,10179.042065619473,10903.994362736878,843.3765697068627,1671.4865991196853,1781.6334759419913,846.0813045811512,5955.923920128713,9147.49834244731,10576.777050197985,113501.30379985947,12.459888257026757
Gaia DR3 66745617143891968,10631.9111328125,nan,nan,57.340716620829006,24.380752387790455,6.622445011579889,2.5,1244.0476095867323,4449.112587454976,4931.958503798835,520.4874062436666,924.1490123283975,1014.8365146758671,1530.287370875372,3110.3883333096305,7487.303132816555,10849.76725732914,930.2621443702154,1492.0551900490595,1644.599116196028,947.829257124594,1690.453181973997,3074.9448901377823,4786.095679853874,66076.18444346465,21.40277278847886
Gaia DR3 66789872486779520,9843.775390625,nan,nan,56.747585269534376,24.51991333978582,6.820854387341837,2.5,1036.2707761020054,3706.03610218644,4108.238645410289,473.8308069422058,842.745703697393,925.5754848925984,1678.1023696335576,2590.901270416917,6236.797827160534,9037.674000284906,848.6619102363129,1361.5357413787751,1500.7811693967235,1038.6900023211842,1408.1191245005723,2561.3774772112706,3986.737361529291,60123.62336899795,23.5217620483984
Gaia DR3 66507469798631808,11050.8701171875,nan,nan,57.491988012399965,23.84848726390722,6.824923025338836,2.5,1032.3947695012814,3692.174261511333,4092.8724298668412,472.91685195311464,841.1523325682376,923.8284308316929,1681.2811516020715,2581.2104148436906,6213.470073350487,9003.870013056718,847.0650081650487,1358.9818496291407,1497.9671090302056,1040.6419796990128,1402.8522780864525,2551.7970507073396,3971.82560228161,60006.995663860456,23.567478203625733
Gaia DR3 66729880383767168,11108.8125,nan,nan,56.87281395748792,24.288130246334337,6.835965428623025,2.5,1021.94808519209,3654.813573464488,4051.4571229941935,470.4447330842233,836.8427480035426,919.1032064779141,1689.9394369455758,2555.0914425899905,6150.5966820485755,8912.760884682466,842.745941803879,1352.074532252525,1490.3561428359271,1045.9582875339336,1388.656976720601,2525.9757089131126,3931.6351543793567,59691.52943445905,23.692030942612945
Gaia DR3 64956127609464320,10084.2705078125,nan,nan,56.45349543711508,23.14694333291917,6.913060260952074,2.5,951.8990674059954,3404.2958566429406,3773.7516346426237,453.5215684030897,807.351521827039,886.7687387391727,1751.670151277755,2379.953734030712,5729.006522412499,8301.839297978793,813.1926166944229,1304.8140617630756,1438.281634140657,1083.8429810161597,1293.4720464187826,2352.833726531846,3662.1428143591797,57531.77627189359,24.581434018125233
Gaia DR3 65010690873940480,6112.2216796875,nan,nan,56.82126025036113,23.726630871297488,6.953147309713995,2.5,5.4208207325620865,210.3318072239543,1742.5972899991705,14.618629568295448,179.0337533310793,574.232408978778,7899.144915751454,1523.5274300282872,6635.639718877459,7634.1951108368075,624.8095786927049,1356.0030282555445,1456.6902221100004,1042.9280266375488,4771.258043459102,6967.47864027801,7611.206914459102,98909.56583197288,14.298046407114503
