cluster,pl_name,ra_in,dec_in,sy_vmag,st_teff,vis_waltzer_2026,nn_sep_arcsec,nn_dG,crowded_vis,NUV_median_snr,NUV_transit_uncert,VIS_median_snr,VIS_transit_uncert,NIR_snr,NIR_transit_uncert,pl_trandur,st_rad,st_mass,designation,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,parallax,pmra,pmdec,ruwe,nn_source_id,cluster_center_ra,cluster_center_dec,target,teff,r_star,m_star,ra_etc,dec_etc,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_max_snr,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_max_snr,NIR_min_flux,NIR_median_flux,NIR_max_flux
M45,Gaia DR3 65287458566524928,56.20099235353907,24.28926774500748,5.458857570944716,11576.751953125,0914-0130,217.58130920053216,5.7521615,False,1709.4198158892846,827.3061709170514,2502.377740140309,565.1479149961588,114059.74310493056,12.398884337939224,2.5,,,Gaia DR3 65287458566524928,65287458566524928,5.4413247,5.419782,5.4410043,-0.021222115,11576.752,3.8951,7.385246890845397,19.84914439143686,-44.96559622643841,0.9633128,65275089060719104,56.65833333333333,24.178055555555556,Gaia DR3 65287458566524928,11576.751953125,,,56.20099235353907,24.28926774500748,5.458857570944716,2.5,3633.041696345436,13089.602183346731,14444.497597044134,984.3642407686012,1841.4410032928288,9085.200955927778,20809.766477379875,29835.641429815023,1323.374291186479,2767.4495758022213,4936.7032510309,8980.633942745444,13977.042798807424
M45,Gaia DR3 69812945346809600,56.29068291043696,24.839057004118633,5.658600894814548,11636.8125,0914-0130,258.1308603748987,3.9300737,False,1558.8046605936029,907.2423236369806,2282.325136218397,619.6372023997936,103924.73236660422,13.608055851270557,2.5,,,Gaia DR3 69812945346809600,69812945346809600,5.6404076,5.600362,5.680828,-0.08046627,11636.8125,3.8595,7.222157170572348,20.218136384021552,-46.12398123648605,0.89882505,69819027020489088,56.65833333333333,24.178055555555556,Gaia DR3 69812945346809600,11636.8125,,,56.29068291043696,24.839057004118633,5.658600894814548,2.5,3022.5469300889627,10890.031054462916,12017.25042477243,897.1884958527114,1679.25118580653,7558.5276894025,17312.902256350055,24822.073058406226,1206.8100188640517,2524.11543410914,4107.141757049873,7471.532072203621,11628.346530058809
M45,Gaia DR3 66453490649681280,57.431468357888065,23.711649593760512,6.176860756334439,10090.47265625,0914-0130,96.46527703128088,5.1938214,False,1226.720516797791,1152.8408818536209,1797.3323854689595,786.8403050024044,81542.32475337789,17.3433068857227,2.5,,,Gaia DR3 66453490649681280,66453490649681280,6.1591687,6.129117,6.178773,-0.049655914,10090.473,3.8918,7.46248486399861,17.868504681193286,-45.57243824211501,1.0356296,66452769091505024,56.65833333333333,24.178055555555556,Gaia DR3 66453490649681280,10090.47265625,,,57.431468357888065,23.711649593760512,6.176860756334439,2.5,1875.2928946902985,6756.552778748726,7455.918752145368,704.7874228688602,1321.6720308949905,4689.572601554012,10741.524726911455,15400.474604555637,949.819281232366,1987.8231727233945,2548.2131237759672,4635.5975048638,7214.629294167497
M45,Gaia DR3 66715105696289024,56.837760020213594,24.116067483641807,6.316509521054223,10292.97265625,0914-0130,85.47666239017603,1.9450722,False,1149.9356510648622,1229.8197390988848,1685.2468694753045,839.1729354248292,76356.78203111583,18.52112575667208,2.5,,,Gaia DR3 66715105696289024,66715105696289024,6.29883,6.2923536,6.2829795,0.009374142,10292.973,3.9139,7.199902345703015,20.344160878448307,-45.07643568357508,1.157944,66715273197982848,56.65833333333333,24.178055555555556,Gaia DR3 66715105696289024,10292.97265625,,,56.837760020213594,24.116067483641807,6.316509521054223,2.5,1648.958031154533,5941.08365630914,6556.04100073989,660.2456625910964,1238.9994938552172,4123.5736699636045,9445.097091465706,13541.743988193028,890.4022723320082,1863.8856188845573,2240.661449441314,4076.112993595838,6343.873509095208
M45,Gaia DR3 66786505232432512,56.51218035590119,24.527697326214305,6.44279813939402,10877.845703125,0914-0130,150.5367679285594,5.9890146,False,1084.6020955154124,1303.900820605596,1589.9004056487413,889.4982084088726,71940.35505454957,19.658139875745015,2.5,,,Gaia DR3 66786505232432512,66786505232432512,6.4252644,6.4090815,6.425955,-0.01687336,10877.846,4.0141,7.423127367767808,19.582296508324045,-44.877584847283686,0.78916544,66799763794633856,56.65833333333333,24.178055555555556,Gaia DR3 66786505232432512,10877.845703125,,,56.51218035590119,24.527697326214305,6.44279813939402,2.5,1467.8921734453604,5288.715683548558,5836.146883031916,622.3239788454152,1168.6593948259313,3670.779608943049,8407.966628651411,12054.776191697048,839.848381071287,1758.45867388305,1994.6228726469064,3628.530410315544,5647.2767028571625
M45,Gaia DR3 66504755379545728,57.23749155579294,23.856874540730196,6.446017129883963,6690.26416015625,0914-0130,90.56186170997994,5.828992,False,372.77035503214574,3793.792996900574,1621.5057716991855,872.1606713068511,113499.33694859513,12.460104176763652,2.5,,,Gaia DR3 66504755379545728,66504755379545728,6.385194,6.569959,6.0548434,0.51511574,6690.264,3.7043,11.594324054546425,48.0769414241189,-57.90327317993762,0.9815908,66504544921636736,56.65833333333333,24.178055555555556,Gaia DR3 66504755379545728,6690.26416015625,,,57.23749155579294,23.856874540730196,6.446017129883963,2.5,19.101882416816327,694.8294508054427,2951.680532039991,43.138183243822205,832.1853568870082,3663.0064864801298,10384.09226322245,10903.92425074794,992.5742959832072,1864.1101347425376,5959.195014332146,9148.132082793005,10576.737680634043
M45,Gaia DR3 66745617143891968,57.340716620829006,24.380752387790455,6.622445011579889,10631.9111328125,0914-0130,86.90876203169267,0.9209628,False,997.9368309110832,1417.1373563614893,1463.463024888205,966.347313408296,66074.7303316771,21.40324380098306,2.5,,,Gaia DR3 66745617143891968,66745617143891968,6.604883,6.5822644,6.6148195,-0.032555103,10631.911,4.0267,7.189385624305486,18.566769795996994,-45.34756663616908,0.9828397,66746441777612416,56.65833333333333,24.178055555555556,Gaia DR3 66745617143891968,10631.9111328125,,,57.340716620829006,24.380752387790455,6.622445011579889,2.5,1244.0430405158295,4482.202479452358,4946.152070708798,571.9818524219573,1075.3582318533652,3110.996780543161,7125.77705534887,10216.459149759788,772.7918007900246,1618.6564290906908,1690.4488954020856,3075.19045738759,4786.084023846827
M45,Gaia DR3 66789872486779520,56.747585269534376,24.51991333978582,6.820854387341837,9843.775390625,0914-0130,121.02597805585336,5.401657,False,910.1408992194318,1553.84024999423,1335.4345370108597,1058.991304462268,60122.29272821151,23.52228263759303,2.5,,,Gaia DR3 66789872486779520,66789872486779520,6.8028107,6.802068,6.7674193,0.034648895,9843.775,3.9684,7.271150194177561,22.271845514767698,-47.52140397943802,0.92515117,66789185292165632,56.65833333333333,24.178055555555556,Gaia DR3 66789872486779520,9843.775390625,,,56.747585269534376,24.51991333978582,6.820854387341837,2.5,1036.2669701426405,3733.599426770656,4120.061648391927,520.9271831116858,980.8475260949582,2591.408096749004,5935.652673235914,8510.138977440723,704.8652965436161,1477.098833711438,1408.1155538581245,2561.5820306082483,3986.727652271079
M45,Gaia DR3 66507469798631808,57.491988012399965,23.84848726390722,6.824923025338836,11050.8701171875,0914-0130,10.11130739065778,3.4282546,False,908.4225005321432,1556.779539855811,1332.9293761959796,1060.9816151018374,60005.66743647528,23.567999870516328,2.5,,,Gaia DR3 66507469798631808,66507469798631808,6.806421,6.811625,6.7562876,0.05533743,11050.87,4.1342,7.389021187429237,18.377840455207256,-45.870328430863225,0.9739202,66507469798632320,56.65833333333333,24.178055555555556,Gaia DR3 66507469798631808,11050.8701171875,,,57.491988012399965,23.84848726390722,6.824923025338836,2.5,1032.3909777775043,3719.634489848419,4104.65121077964,519.9272521966336,978.9977928921492,2581.7153454722084,5913.451305145996,8478.308151357107,703.5358535311491,1474.328993036882,1402.8487207994272,2552.0008390047556,3971.815929339341
M45,Gaia DR3 66729880383767168,56.87281395748792,24.288130246334337,6.835965428623025,11108.8125,0914-0130,187.58585393216123,4.8738127,False,903.77477558047,1564.7853874487528,1326.1538555580714,1066.4023306541355,59690.20773389271,23.692555547433457,2.5,,,Gaia DR3 66729880383767168,66729880383767168,6.815936,6.841812,6.7403946,0.10141754,11108.8125,4.1204,7.230057778664303,18.551020432929977,-46.92179879334844,1.1449239,66730052182455936,56.65833333333333,24.178055555555556,Gaia DR3 66729880383767168,11108.8125,,,56.87281395748792,24.288130246334337,6.835965428623025,2.5,1021.9443318363308,3681.995934899328,4063.116715773364,517.2226176273846,973.9948689038451,2555.591263883368,5853.613769362588,8392.517123206064,699.9401429887878,1466.8376226023277,1388.6534554293553,2526.1774351001104,3931.62557931648
