# primary diameter: 35.0 cm
# duty-cycle efficiency: 0.6
# instrumental resolution = lambda/FWHM = 3000.0
#
# SNR stats are per HWHM! resolving element
# Number of transits (for stats): 1
# total in-transit time (for stats): 2.5 h
#
# Wavelength ranges per band (angstrom)
# NUV  0.2397 0.3252
# VIS  0.45 0.82
# NIR  0.9 1.6
#
target,teff,r_star,m_star,ra,dec,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_median_snr,NUV_max_snr,NUV_transit_uncert,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_median_snr,VIS_max_snr,VIS_transit_uncert,NIR_min_flux,NIR_median_flux,NIR_max_flux,NIR_snr,NIR_transit_uncert
#name,  K,  R_sun,  M_sun,  deg,  deg,  ,  h, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ppm
Gaia DR3 65287458566524928,11576.751953125,nan,nan,56.20099235353907,24.28926774500748,5.458857570944716,2.5,3633.0416963454363,13089.602183346731,14444.497597044134,984.3642407686013,1709.4198158892846,1841.4410032928288,827.3061709170514,9085.200955927778,20809.766477379875,29835.641429815023,1323.374291186479,2502.377740140309,2767.4495758022213,565.1479149961588,4936.7032510309,8980.633942745444,13977.042798807423,114059.74310493057,12.398884337939224
Gaia DR3 69812945346809600,11636.8125,nan,nan,56.29068291043696,24.839057004118633,5.658600894814548,2.5,3022.5469300889627,10890.031054462917,12017.25042477243,897.1884958527114,1558.8046605936029,1679.25118580653,907.2423236369806,7558.5276894025,17312.902256350055,24822.073058406222,1206.8100188640517,2282.325136218397,2524.11543410914,619.6372023997936,4107.141757049873,7471.532072203621,11628.346530058809,103924.73236660422,13.608055851270557
Gaia DR3 66453490649681280,10090.47265625,nan,nan,57.431468357888065,23.711649593760512,6.176860756334439,2.5,1875.2928946902985,6756.552778748726,7455.918752145368,704.7874228688602,1226.7205167977913,1321.6720308949903,1152.8408818536209,4689.572601554012,10741.524726911455,15400.474604555635,949.819281232366,1797.3323854689595,1987.8231727233945,786.8403050024044,2548.2131237759672,4635.5975048638,7214.629294167497,81542.32475337789,17.3433068857227
Gaia DR3 66715105696289024,10292.97265625,nan,nan,56.837760020213594,24.116067483641807,6.316509521054223,2.5,1648.958031154533,5941.08365630914,6556.04100073989,660.2456625910964,1149.9356510648622,1238.9994938552172,1229.8197390988848,4123.5736699636045,9445.097091465706,13541.743988193028,890.4022723320082,1685.2468694753045,1863.8856188845573,839.1729354248292,2240.661449441314,4076.112993595838,6343.873509095208,76356.78203111583,18.52112575667208
Gaia DR3 66786505232432512,10877.845703125,nan,nan,56.51218035590119,24.527697326214305,6.44279813939402,2.5,1467.8921734453604,5288.715683548558,5836.146883031916,622.3239788454152,1084.6020955154124,1168.6593948259313,1303.900820605596,3670.7796089430485,8407.966628651411,12054.776191697048,839.848381071287,1589.9004056487413,1758.4586738830499,889.4982084088726,1994.6228726469064,3628.5304103155436,5647.2767028571625,71940.35505454957,19.658139875745015
Gaia DR3 66504755379545728,6690.26416015625,nan,nan,57.23749155579294,23.856874540730196,6.446017129883963,2.5,19.101882416816327,694.8294508054427,2951.680532039991,43.138183243822205,372.77035503214574,832.1853568870082,3793.792996900574,3663.0064864801293,10384.09226322245,10903.924250747941,992.5742959832072,1621.5057716991855,1864.1101347425374,872.1606713068511,5959.195014332146,9148.132082793003,10576.737680634043,113499.33694859513,12.460104176763652
Gaia DR3 66745617143891968,10631.9111328125,nan,nan,57.340716620829006,24.380752387790455,6.622445011579889,2.5,1244.0430405158297,4482.202479452358,4946.152070708798,571.9818524219573,997.9368309110833,1075.3582318533652,1417.1373563614893,3110.996780543161,7125.77705534887,10216.459149759787,772.7918007900246,1463.463024888205,1618.6564290906908,966.3473134082961,1690.4488954020856,3075.19045738759,4786.084023846827,66074.7303316771,21.40324380098306
Gaia DR3 66789872486779520,9843.775390625,nan,nan,56.747585269534376,24.51991333978582,6.820854387341837,2.5,1036.2669701426405,3733.599426770656,4120.061648391927,520.9271831116858,910.1408992194318,980.8475260949582,1553.84024999423,2591.408096749004,5935.652673235914,8510.138977440723,704.8652965436161,1335.4345370108597,1477.098833711438,1058.9913044622679,1408.1155538581245,2561.5820306082483,3986.727652271079,60122.29272821151,23.52228263759303
Gaia DR3 66507469798631808,11050.8701171875,nan,nan,57.491988012399965,23.84848726390722,6.824923025338836,2.5,1032.3909777775045,3719.634489848419,4104.65121077964,519.9272521966336,908.4225005321432,978.9977928921492,1556.779539855811,2581.7153454722084,5913.451305145996,8478.308151357107,703.5358535311491,1332.9293761959796,1474.328993036882,1060.9816151018374,1402.8487207994272,2552.0008390047556,3971.8159293393405,60005.66743647528,23.567999870516328
Gaia DR3 66729880383767168,11108.8125,nan,nan,56.87281395748792,24.288130246334337,6.835965428623025,2.5,1021.9443318363309,3681.9959348993284,4063.116715773364,517.2226176273846,903.77477558047,973.9948689038453,1564.7853874487528,2555.591263883368,5853.613769362588,8392.517123206064,699.9401429887878,1326.1538555580714,1466.8376226023277,1066.4023306541355,1388.6534554293553,2526.1774351001104,3931.6255793164796,59690.20773389271,23.692555547433457
Gaia DR3 64956127609464320,10084.2705078125,nan,nan,56.45349543711508,23.14694333291917,6.913060260952074,2.5,951.8955713224874,3429.6150141174166,3784.612025354878,498.7092406228333,871.970459008114,939.760716888116,1621.8594882007758,2380.4192952758767,5452.3801832495155,7817.25543452345,675.3352489616562,1279.7950630734058,1415.581321432272,1105.0312688164975,1293.4687664930198,2353.0216254790207,3662.1338956151126,57530.4992073611,24.581979677870496
Gaia DR3 65010690873940480,6112.2216796875,nan,nan,56.82126025036113,23.726630871297488,6.953147309713995,2.5,5.416975907053432,237.52836335338762,1868.4133531275174,18.22583629098405,208.1890506288389,649.986476280336,6792.929590203888,2625.41593992202,6860.173576582207,7639.886098598,832.6514087096573,1319.17822015107,1511.012081160581,1072.0413214608272,4770.020669291238,6967.502287253958,7611.222281936355,98908.52648397909,14.29819665347219
Gaia DR3 65017627244152064,10023.58984375,nan,nan,56.8374628864436,23.803141100251725,7.015804680847438,2.5,865.9474513005188,3119.9497821918367,3442.893565482364,475.0120128389538,831.287177722819,895.9714238816051,1701.2334609167335,2165.4875638373783,4960.076362837506,7111.423378392171,643.862676307349,1220.5106623492857,1350.0350343308626,1158.7064382141182,1176.6794755913322,2140.563671924319,3331.4741750750172,54765.05705450573,25.82328291862416
Gaia DR3 65207709611941376,10295.369140625,nan,nan,56.85182143112869,23.9144778917631,7.304697527450096,2.5,663.642819368163,2391.0599501520087,2638.556865257506,413.9355274081841,726.5952631939176,783.3003860175517,1946.3567050473082,1659.58138685369,3801.2919337902263,5450.036319720063,562.8818017513698,1068.0569004750705,1181.485616656676,1324.0994573828928,901.7809146516922,1640.4802717987654,2553.167528674596,47631.44866061975,29.690752688408665
Gaia DR3 68388528032874112,4760.95263671875,nan,nan,55.32537328352931,25.008245797308668,7.351296902689028,2.5,2.062266347811828,64.22021225526163,1014.5913814978342,6.208031506584206,94.03794388588244,474.6538115182653,15038.754612598519,1417.0935369174558,5056.657930306688,6102.389450383668,652.4019569219573,1144.7479867294896,1301.1997637137392,1235.3929238289911,4225.184573247971,6092.041221798785,6265.677140677213,92180.07930598168,15.341856646475298
Gaia DR3 65231486552803328,9796.7109375,nan,nan,56.61376023966258,24.254800329035454,7.374356318325649,2.5,622.4018621334847,2242.4715856404255,2474.588224799747,400.349144823752,703.3448966190643,758.2812425345178,2010.6971262194872,1556.4495168097044,3565.0670949119476,5111.353057836793,544.8993509551586,1034.2245238018388,1144.0830406159525,1367.4144538503167,845.741269452777,1538.5354081475637,2394.5052636880064,46043.22264895611,30.714912662725144
Gaia DR3 69877988331531904,10265.265625,nan,nan,55.930098933897625,25.08049424832434,7.537358587398611,2.5,535.6362682816521,1929.8610510944616,2129.6195961270805,370.15209450100696,651.7289330754427,702.7438446011055,2169.9413523035796,1339.473516507461,3068.080851086535,4398.807658423326,504.9815557857551,959.1572817129548,1061.097084657503,1474.4334316551895,727.8411667160423,1324.0567144424901,2060.7005567530664,42511.17954928856,33.26686244340549
Gaia DR3 66746441777612416,10021.97265625,nan,nan,57.32010689706659,24.39593347467187,7.547309580894937,2.5,530.7494811737439,1912.2542894485462,2110.190371103748,368.37830313645014,648.6997959272074,699.4848230720892,2180.0740053443583,1327.253055908607,3040.0897331639044,4358.675879026999,502.6390970982666,954.7538225195054,1056.2292477615094,1481.2337264501532,721.2008306508178,1311.976906435773,2041.9001029557426,42303.61164652636,33.4300904185144
Gaia DR3 66558249192653952,9724.36328125,nan,nan,57.48590927641627,24.348794070150262,7.565590285591882,2.5,521.8879824250988,1880.3269120433627,2074.958213567606,365.1399935289825,643.170533167209,693.5360158188569,2198.8158496767346,1305.0929752843938,2989.3317911935724,4285.90256088389,498.3633182501741,946.7165305286509,1047.3444054441568,1493.8088823519242,709.1595183461866,1290.07187943712,2007.808133299578,41924.63871808411,33.73227785891633
Gaia DR3 65005880510573696,4882.51611328125,nan,nan,56.90428209463799,23.608852238285635,7.649721736258242,2.5,1.5666602395704736,48.78674048279392,770.7636690527867,4.756439835149155,77.78759973208298,411.7374979338011,18180.449933459153,1076.5360654779229,3841.436356136024,4635.856531545725,567.8377645226559,997.2985708893858,1133.7138751053685,1418.0443085483485,3209.7835872547194,4627.995200592463,4759.902745200731,80140.37739704466,17.646704549026087
Gaia DR3 65007083101413888,9649.068359375,nan,nan,56.861890197773505,23.678126852419386,7.773573824730642,2.5,430.9073290049293,1552.5298044987624,1713.231060524717,330.07908072612116,583.3825657816451,629.2185023793545,2424.1615113716352,1077.5763133492082,2468.2020299971455,3538.7418125707068,452.133749350253,859.8640799187888,951.3370380779096,1644.694313206644,585.5318462575146,1065.1738428799736,1657.7872436422015,37819.09544428275,37.39416677632059
Gaia DR3 65221487868870784,9835.4453125,nan,nan,56.46524526083272,24.03867637774549,7.864423919514054,2.5,396.3180412947229,1427.9069529671192,1575.7085862530535,315.7423621162595,558.9796235950505,602.9709644785945,2529.9912602853906,991.0783713944709,2270.0774115562504,3254.6840803204727,433.2674432632292,824.4475013651734,912.1896205141159,1715.3470172829066,538.5307206548033,979.6714574881017,1524.7152904102475,36138.94542551985,39.13267378783099
Gaia DR3 66555985749157760,8169.57568359375,nan,nan,57.35836849831732,24.24749646235856,7.983821885118714,2.5,5.5092198679880156,240.08752086148525,724.7781536665989,12.074320520031508,211.5879679164696,401.6306199008253,6683.808991120877,800.6053523957187,2362.159373298372,2480.97284760265,458.14599399683055,781.304260323148,901.6330341715131,1810.0676448227423,1135.9829882570227,1863.1831248457704,2279.189216636589,50215.18399411718,28.163066425063253
Gaia DR3 64136922728171008,12712.818359375,nan,nan,57.2279862927018,22.799179926606183,8.114527478037974,2.5,314.7765850171689,1134.1186308574083,1251.5104438410326,279.094983532358,496.7405361712425,536.0408586873475,2846.9864232814894,787.166448978115,1803.0146016060398,2585.0408847553645,385.1580733814745,734.2268446559411,812.47279507574,1926.1262001878943,427.72935751489626,778.1064793807138,1211.0088924311335,31840.35138095788,44.41576493464408
Gaia DR3 64929391436043264,7857.28466796875,nan,nan,57.42060476339698,23.341369648361887,8.125782502887883,2.5,4.833991227241998,210.66158138984343,635.9468891192587,10.681229901949925,196.49898636083668,375.13164904402936,7197.0527103693785,702.4804496280291,2072.645122446695,2176.896415048451,428.6274552851504,731.5434355572054,844.2974853904255,1933.1915148632431,996.7530668795124,1634.8250924933639,1999.8440691149049,46872.59251615415,30.171438925331497
Gaia DR3 66506331628024832,7732.958984375,nan,nan,57.3008750959372,23.886587601561303,8.135317450657928,2.5,4.791724924210366,208.81964874710968,630.3864479301932,10.593292936595798,195.5179952697413,373.410875581877,7233.163169569186,696.3382681134144,2054.522820873478,2157.8625858126034,426.71192003951876,728.3155922813156,840.5784973833911,1941.7592831471993,988.0378944284292,1620.5308975900641,1982.358308080654,46655.48623811486,30.311838465371384
Gaia DR3 65292234570088064,7262.96630859375,nan,nan,56.10725957131531,24.39449685185783,8.164915269597714,2.5,4.662864026761901,203.20399096874493,613.4338547190913,10.324648809304655,192.49821866633414,368.1153768872076,7346.631943770947,677.6120733555649,1999.2718081977578,2099.8325206948516,420.8181373411641,718.3851003169312,829.1371642818863,1968.600910220972,961.4672018692937,1576.950961531686,1929.0479710550383,45987.326735873976,30.752245515282144
Gaia DR3 68293729514855040,7700.830078125,nan,nan,55.930266895087854,24.374390241889618,8.237352256745528,2.5,4.361922613888304,190.08919804475855,573.8428115567498,9.694044530816806,185.26691658145614,355.4439121775579,7633.3842461900595,633.8789656420547,1870.2387334127734,1964.309253889521,406.7218870667032,694.6408808220654,801.7815565370237,2035.8916404393867,899.4140738986925,1475.1744894595881,1804.5471452581958,44388.266462673484,31.86007643624292
Gaia DR3 66715273197982848,7574.09326171875,nan,nan,56.83070036887997,24.138920132623063,8.283592157537,2.5,4.180054999170313,182.1635487171015,549.916797136274,9.31074612743196,180.7665650894525,347.56448675231275,7823.42443511758,607.4497816088095,1792.2603079551577,1882.4086173592204,397.9615953686509,679.8897885138841,784.7877203306842,2080.0629547096296,861.9135708537905,1413.6680187036366,1729.3076891730927,43393.75632564732,32.59025450021349
Gaia DR3 69948253997063424,7802.6982421875,nan,nan,56.94524283764543,25.38549346832899,8.308114534404956,2.5,4.086702705250914,178.09532828827588,537.6356203365265,9.113347490929147,178.41574869772882,343.4505261936791,7926.506335318244,593.8837327014925,1752.2341333996774,1840.369179466895,393.38934878301274,672.1924019510601,775.9202985009742,2103.882100226505,842.664635369585,1382.096866550694,1690.6874222845463,42874.45316085961,32.98499358270861
Gaia DR3 65212107660378880,7200.1181640625,nan,nan,56.767658409458,23.995012914402537,8.378629594860955,2.5,3.829719985035212,166.89622103185022,503.827664592299,8.567634861554485,171.7916100807592,331.8651884484981,8232.145689235194,556.5387462591486,1642.048997231763,1724.6418775193197,380.5196968053679,650.53267119448,750.9692501058121,2173.9316486232387,789.6756450159169,1295.1869447911686,1584.372506777013,41411.832239983654,34.149987717946324
Gaia DR3 64933759417769984,7409.12939453125,nan,nan,57.18299036630866,23.2596150203104,8.380184742162061,2.5,3.8242384368031033,166.65733941937785,503.10652684465026,8.555957453162122,171.64775993375082,331.6137120053385,8239.04467450624,555.7421621766105,1639.698702480976,1722.1733660689583,380.2404481092424,650.0628013985024,750.4279989147238,2175.5029811437435,788.5453678278219,1293.3331200376062,1582.1047654414942,41380.08045044608,34.17619170814951
Gaia DR3 65296357738731008,7186.67578125,nan,nan,56.39368645440966,24.463106878376045,8.608284724556102,2.5,3.0995951255388703,135.07794700463575,407.77440110091084,6.998332224713647,151.55312895780924,296.52531646128523,9331.470568098908,450.43626996727033,1328.9971819359444,1395.8439723393876,341.32501917661847,584.633441252732,675.0672602273585,2418.974801275083,639.126304171712,1048.263360356195,1282.3165448736265,36948.23729468167,38.27553534134786
Gaia DR3 64955302975741312,5877.5009765625,nan,nan,56.55297221507895,23.128317797691857,8.650455533961749,2.5,0.8792983071043197,35.02556062602877,342.4681284929266,2.7564226170458728,61.349284035055,271.374579712378,23051.834827689483,510.57542703541685,1471.2501560325709,1697.7787232394396,381.79701310324145,612.7756059879252,698.7524820311316,2307.88162673852,1119.0580206842185,1603.1434430923262,1709.2233260726443,46363.942914231324,30.502443784585996
Gaia DR3 64993270486684416,5481.53955078125,nan,nan,56.92530593390367,23.54373489994494,8.66453707034818,2.5,0.6152458428816022,19.159124940843512,302.68792891489386,1.8994876278134554,38.077615678036125,250.4841004678462,37140.28667999924,422.768333725632,1508.5770922832078,1820.5552085824347,352.69687136832795,623.1338340256403,708.8300978976556,2269.5181759540023,1260.5196447377057,1817.4679717544693,1869.269610945368,49423.769983900514,28.61403658267604
Gaia DR3 69925297395123456,6413.70361328125,nan,nan,56.38630430300657,25.61092540526665,8.66554526816876,2.5,1.118916609315311,49.06324774188553,385.93465611665886,4.089527184776974,77.52187364100418,286.4094863967658,18242.76808532999,542.2991632129738,1417.01980760686,1578.0752205058923,374.5309925408468,597.0327582508515,684.5270842972542,2368.7369626356312,985.2831995611563,1439.1893500023962,1572.154496267979,43789.56097391912,32.295678031926265
Gaia DR3 64923520217910144,5020.17529296875,nan,nan,57.29459114522734,23.26716245860921,8.740094779152322,2.5,0.5738859658817117,17.871153538603068,282.3397450886753,1.7731092361923237,35.95320076571443,241.09594150286503,39334.84452715856,394.3477495239672,1407.163058033986,1698.168458034378,340.2800975987553,601.6144967324869,684.4038527915201,2350.6972821533213,1175.7812624056694,1695.2887605777903,1743.6080366611325,47644.615927729596,29.682547226705843
Gaia DR3 66657415696297344,6708.833984375,nan,nan,57.86348961016656,24.518448754707425,8.833279955667797,2.5,2.1191955683152193,77.0855699323903,327.464496225498,5.937914001846616,105.69993116064828,266.437847085753,13379.512615043235,406.38021653953695,1152.0289898666988,1209.7000413470855,325.6272236456803,536.96308891638,618.1632791461003,2633.725839940047,661.1233065690514,1014.9094495079793,1173.4014025916083,36279.177726600676,38.9814116800162
Gaia DR3 69853489838109056,4902.9111328125,nan,nan,56.81808593490627,25.293273324607167,8.878818998902474,2.5,0.5050517921341413,15.727616040076283,248.47478893938265,1.5623665749742097,32.31094358669854,224.63512131929005,43768.87225773515,347.04810617759,1238.3823033433605,1494.4833539503452,318.54819254807563,563.9837962551057,641.6943820765205,2507.5428970895587,1034.7533639777585,1491.9490589026884,1534.472728118092,44528.187336715244,31.75996255313588
Gaia DR3 64879402312818944,6726.98974609375,nan,nan,56.21358052689102,23.26872443224326,8.951890512059833,2.5,1.8998828153885117,69.1080860203052,293.5756276251986,5.342045685799972,98.33923524052162,251.03867950689175,14380.969700589609,364.3244641791769,1032.8070298944522,1084.509780358432,307.72123607639634,508.0390188994967,584.9699818090683,2783.6711547009413,592.7045279742392,909.8778098278909,1051.9676398289698,34175.727295920726,41.38064276226532
Gaia DR3 65188090203295744,6788.40185546875,nan,nan,56.27211037045957,23.70246592516979,8.952342192234523,2.5,2.257781874381042,98.39237965721371,297.02771308951566,5.153135882327163,124.74509683881149,249.7806290853402,11336.826842985753,328.10312466829146,968.0573194077405,1016.749314852534,289.65350138531977,497.950486890938,575.2600300395266,2840.0686405651386,465.5471848918223,763.5674721157382,934.0545893816577,31039.177721737462,45.5622109274721
Gaia DR3 64930495244783616,6678.96533203125,nan,nan,57.38645295572227,23.380204240051093,9.106947951307246,2.5,1.6470388329230425,59.91090630563581,254.50541221911018,4.649945762364594,89.30480220406997,232.06141777786777,15835.806445676712,315.83871143351405,895.3569511623884,940.1788933860672,285.6960462975108,472.5023778451136,544.1961378692652,2993.0295141005085,513.8250454795901,788.7876419867772,911.9675907076427,31583.33065416829,44.777214216526936
Gaia DR3 65142391750598656,4712.14599609375,nan,nan,55.808398787217975,23.72344862418178,9.126594280591698,2.5,0.40199976927900966,12.518514175948646,197.77537547822936,1.2458893286017436,26.58406325591161,197.56651634454815,53197.79556492782,276.23554808623237,985.699700459664,1189.5452562215485,282.9267823543788,502.4088361305287,571.8241397541829,2814.8660227896044,823.6197159543126,1187.528065033813,1221.3750990998733,39411.99907498598,35.882817303491436
Gaia DR3 65120470237460480,6544.701171875,nan,nan,55.345801507755894,23.48673483571187,9.143317424399036,2.5,1.5927809382659415,57.93727971094668,246.12131855366846,4.500702958837139,87.27924366633994,227.79071987897137,16203.320548691923,305.4341337204427,865.861481981218,909.2068687218771,280.7460333652068,464.5227697705501,535.0419246348844,3044.4440066342554,496.8982647428334,762.8028528426214,881.9249223271469,30999.90192547369,45.619936662154
Gaia DR3 66661740724644608,4940.744140625,nan,nan,57.797533639819605,24.593226384261634,9.156480630378534,2.5,0.3910850944944081,12.178624649987073,192.40558656611407,1.212301203833176,25.95657437098206,194.4914053655488,54483.8291124465,268.73549111675976,958.9370192643685,1157.2479749656168,278.88937287667966,495.43953286762456,563.917349466213,2854.462489473879,801.2576599711708,1155.2855524306892,1188.213607438834,38831.425950052,36.419305440705855
Gaia DR3 66552893372698368,9795.01171875,nan,nan,57.47790921014217,24.218294539630037,9.174827275154437,2.5,118.54479790101628,427.10884573398545,471.3185786295203,161.0621427318692,298.05711607612477,322.5937019027568,4744.773689657188,296.44672459827854,679.0149322838337,973.5258714763509,231.71506402903015,447.9979296390441,496.253318422472,3156.741290104933,161.0827890523347,293.0347418904329,456.0657026053959,17970.23498619329,78.6975553441371
Gaia DR3 66939848447027584,6241.58984375,nan,nan,57.07039222938601,25.21491968688357,9.202277279061224,2.5,0.6825035524790505,29.92702101409267,235.40786831789148,2.5175969968123635,53.8325738384324,218.46717754147642,26270.591605327503,330.7852455830074,864.3370243799177,962.5757050237173,290.1247026418595,464.72015986994876,533.241990340532,3043.150877656912,600.9914217913939,877.8597402962067,958.964251505213,33517.03704727538,42.19387174285018
Gaia DR3 69874243120081152,6880.58740234375,nan,nan,56.582968169581655,25.475908194820096,9.250926716823514,2.5,1.7149370076085253,74.73562218541694,225.6125019172556,3.942062121051832,104.54535567984433,214.48219738220925,13527.272954180082,249.2163646055938,735.3045665643692,772.2894081516346,250.78938625426957,432.9534012685253,500.4577688757993,3266.4336582864153,353.61436160781784,579.9807902596233,709.4772088629364,26573.51704425053,53.21890813391883
Gaia DR3 65225611037551360,6336.62060546875,nan,nan,56.663989544588695,24.10299456629025,9.277482814500976,2.5,0.6368288092844827,27.924234370078715,219.653820016831,2.3514056563685166,51.026755209843955,210.14107931047175,27715.1380007849,308.6483188378244,806.4935575163202,898.1578745632116,279.8310292394429,448.62446116628746,514.8466911569855,3152.3327076204655,560.7716621245713,819.111301473817,894.7881080094381,32259.05756761445,43.83927085932151
