dist_bin_pc,v_bin,teff_bin_k,n
30.0,9.75,4000.0,4
130.0,15.0,4400.0,3
410.0,13.75,4600.0,161
240.0,11.5,5000.0,8
80.0,12.5,3600.0,5
130.0,15.5,4600.0,2
40.0,12.25,3400.0,10
140.0,13.5,4200.0,771
340.0,15.5,3600.0,123
450.0,15.0,4000.0,14
310.0,12.5,5000.0,128
160.0,14.0,4200.0,1053
150.0,15.75,3400.0,2547
100.0,15.0,3200.0,54
490.0,14.75,4200.0,43
400.0,12.0,5000.0,12
230.0,12.75,4600.0,47
410.0,14.75,4000.0,11
370.0,15.5,3400.0,1
210.0,13.25,4000.0,2
200.0,11.75,5000.0,58
230.0,14.25,3800.0,12
160.0,12.0,4400.0,5
260.0,13.75,4200.0,59
120.0,14.75,4000.0,3
250.0,14.25,4800.0,45
150.0,13.5,4200.0,583
200.0,13.5,4200.0,74
390.0,13.25,5000.0,412
40.0,14.25,3200.0,69
20.0,14.0,2800.0,1
190.0,14.5,4000.0,621
320.0,12.25,4800.0,1
320.0,15.5,5000.0,27
220.0,15.25,4800.0,56
160.0,13.75,3600.0,8
340.0,15.25,4800.0,37
460.0,15.5,3800.0,10
170.0,11.25,4800.0,4
130.0,15.5,3400.0,2205
100.0,13.5,5000.0,6
140.0,11.25,5000.0,131
100.0,10.5,4800.0,11
210.0,12.25,4600.0,28
60.0,12.0,3800.0,7
240.0,15.75,3400.0,195
350.0,13.5,4800.0,480
170.0,15.5,4400.0,7
140.0,13.75,3400.0,2
150.0,13.0,4000.0,12
50.0,14.75,3000.0,47
160.0,15.75,3400.0,1903
330.0,15.5,3600.0,112
270.0,14.5,3800.0,10
260.0,15.75,3400.0,119
240.0,12.5,4600.0,45
320.0,15.75,4400.0,293
440.0,14.75,5000.0,597
70.0,13.0,4400.0,1
170.0,15.0,3600.0,452
120.0,14.75,4200.0,2
190.0,14.25,3800.0,30
190.0,14.25,4400.0,171
250.0,14.5,4800.0,21
80.0,10.5,5000.0,222
480.0,14.5,5000.0,3007
100.0,13.5,4800.0,16
10.0,12.25,3200.0,2
100.0,14.75,4800.0,1
300.0,14.5,5000.0,35
170.0,14.0,4800.0,3
60.0,12.25,3400.0,2
180.0,15.0,3400.0,77
340.0,14.75,4600.0,982
480.0,12.5,5000.0,12
200.0,13.5,4400.0,1431
180.0,11.75,4400.0,1
380.0,14.75,5000.0,133
30.0,15.0,3200.0,2
90.0,12.25,4000.0,27
280.0,15.75,3600.0,753
180.0,13.75,4400.0,1277
360.0,14.0,5000.0,1374
120.0,13.5,4800.0,6
400.0,15.75,4200.0,4685
360.0,12.0,5000.0,8
90.0,11.0,5000.0,136
110.0,11.75,4800.0,241
350.0,15.0,4000.0,104
170.0,12.5,5000.0,213
320.0,15.25,3600.0,53
50.0,14.0,3200.0,22
220.0,13.0,4200.0,5
270.0,14.75,4200.0,1487
380.0,13.25,4600.0,19
170.0,13.75,5000.0,4
430.0,14.75,4800.0,1761
30.0,10.0,4000.0,16
410.0,13.0,4800.0,20
90.0,14.75,4400.0,2
430.0,15.0,4000.0,28
230.0,13.25,5000.0,217
260.0,15.25,3600.0,182
470.0,15.5,4400.0,6877
260.0,14.75,3800.0,28
40.0,11.25,3600.0,4
410.0,13.25,4600.0,4
250.0,14.75,4400.0,761
380.0,15.75,3400.0,11
190.0,15.0,4800.0,64
160.0,11.5,4600.0,6
160.0,15.25,3200.0,3
20.0,8.0,5000.0,11
70.0,12.25,4000.0,41
240.0,12.75,4400.0,10
400.0,13.75,5000.0,2647
320.0,15.25,4200.0,2862
80.0,12.0,4000.0,12
460.0,14.5,4600.0,1169
490.0,15.5,4400.0,6799
350.0,14.75,3800.0,8
360.0,15.5,3400.0,1
240.0,12.0,4800.0,13
80.0,12.75,4000.0,256
90.0,13.25,4600.0,9
130.0,15.5,5000.0,2
130.0,13.25,4400.0,271
220.0,12.0,4800.0,44
280.0,14.75,4000.0,124
250.0,11.0,5000.0,1
10.0,11.5,3000.0,14
380.0,12.5,5000.0,25
60.0,8.75,5000.0,1
120.0,10.0,5000.0,1
170.0,14.25,4600.0,9
220.0,13.25,5000.0,111
40.0,12.0,3400.0,8
460.0,14.75,4000.0,3
460.0,14.25,5000.0,3702
30.0,14.5,3000.0,243
140.0,14.25,4400.0,5
320.0,15.5,3400.0,7
400.0,15.25,3600.0,4
190.0,13.5,4200.0,73
160.0,12.75,4400.0,313
70.0,11.5,4400.0,261
130.0,15.75,3200.0,199
110.0,12.25,4400.0,552
160.0,14.75,4400.0,16
110.0,13.25,4800.0,4
250.0,14.25,3800.0,7
490.0,13.0,5000.0,28
490.0,14.75,4400.0,391
320.0,12.75,4800.0,62
420.0,14.25,4200.0,8
170.0,15.5,3600.0,2138
390.0,15.75,4200.0,4647
70.0,15.0,3000.0,1
10.0,8.5,3600.0,3
440.0,14.25,5000.0,3093
260.0,12.0,4800.0,5
200.0,12.75,4600.0,254
70.0,13.25,3800.0,212
80.0,15.75,3000.0,1
310.0,15.5,4600.0,45
220.0,15.75,5000.0,95
190.0,13.0,4200.0,23
340.0,15.75,4800.0,43
360.0,12.5,5000.0,42
50.0,15.5,3000.0,134
60.0,14.25,3600.0,19
400.0,12.25,5000.0,3
290.0,15.75,3400.0,58
130.0,12.5,4200.0,23
390.0,15.75,5000.0,24
120.0,12.0,4600.0,617
330.0,11.0,5000.0,1
70.0,13.75,3800.0,39
260.0,14.75,4400.0,1248
250.0,12.0,4800.0,9
10.0,9.0,4200.0,1
430.0,15.25,5000.0,95
140.0,14.5,3600.0,273
340.0,12.75,4600.0,1
140.0,14.0,3600.0,100
100.0,15.25,3800.0,1
140.0,13.25,4000.0,40
150.0,12.5,5000.0,27
450.0,15.75,3800.0,42
190.0,14.5,3800.0,75
310.0,13.75,4400.0,151
160.0,12.25,4600.0,152
160.0,13.5,4600.0,31
50.0,10.25,4600.0,111
200.0,13.75,4800.0,31
220.0,13.0,5000.0,494
180.0,13.25,4800.0,55
430.0,12.75,5000.0,37
100.0,13.5,4200.0,25
250.0,15.75,4800.0,93
150.0,12.75,5000.0,15
130.0,13.5,3800.0,31
60.0,14.25,3000.0,2
210.0,13.5,4400.0,1189
20.0,11.5,3200.0,28
200.0,14.75,4800.0,25
100.0,13.75,4200.0,12
230.0,14.0,4600.0,288
350.0,14.25,5000.0,326
230.0,13.5,4200.0,40
360.0,15.5,3600.0,84
30.0,15.75,2600.0,2
330.0,15.0,5000.0,29
30.0,12.0,3200.0,17
350.0,15.0,3800.0,16
110.0,13.75,4200.0,19
260.0,14.0,4800.0,171
340.0,11.5,5000.0,10
80.0,13.5,3600.0,181
430.0,15.5,3600.0,10
330.0,14.75,4000.0,45
80.0,14.0,3200.0,3
60.0,13.75,3600.0,98
490.0,14.0,5000.0,2202
150.0,13.0,4200.0,49
230.0,12.25,4800.0,66
260.0,15.0,4600.0,33
110.0,13.25,4400.0,9
460.0,14.5,5000.0,2150
210.0,14.0,3800.0,5
120.0,15.75,4000.0,1
80.0,11.75,4400.0,342
270.0,14.75,4600.0,79
250.0,15.5,4400.0,103
60.0,9.25,5000.0,5
50.0,13.25,3800.0,1
380.0,15.0,4400.0,4620
140.0,10.5,5000.0,7
50.0,11.0,4000.0,8
40.0,13.25,3200.0,37
180.0,13.0,4000.0,1
240.0,15.0,4800.0,15
180.0,10.75,5000.0,4
110.0,12.75,4400.0,416
20.0,11.5,3000.0,3
260.0,14.25,4400.0,2586
40.0,10.25,4400.0,86
410.0,15.25,3800.0,10
290.0,13.0,4600.0,53
150.0,14.5,4800.0,45
290.0,12.75,5000.0,424
190.0,13.0,5000.0,71
120.0,13.25,3800.0,24
300.0,15.25,3600.0,68
180.0,12.5,4600.0,165
140.0,15.5,4400.0,1
420.0,12.75,4800.0,2
30.0,9.5,4600.0,23
240.0,15.25,5000.0,20
330.0,15.0,4000.0,129
310.0,15.25,5000.0,14
300.0,15.5,3400.0,8
10.0,10.5,3400.0,4
350.0,14.25,4600.0,3124
420.0,15.25,5000.0,65
40.0,11.25,3400.0,1
250.0,13.75,4200.0,65
160.0,15.25,4400.0,7
370.0,14.25,4200.0,53
410.0,12.75,4800.0,3
100.0,14.5,3600.0,1029
310.0,14.25,4800.0,391
450.0,14.25,4200.0,5
30.0,7.75,4600.0,1
40.0,12.5,3600.0,1
380.0,13.5,4800.0,230
480.0,15.75,4200.0,2046
90.0,13.25,3600.0,56
170.0,11.5,4600.0,2
140.0,14.5,4400.0,12
130.0,11.25,5000.0,270
260.0,13.5,5000.0,261
340.0,15.5,3800.0,74
200.0,13.75,3800.0,1
490.0,14.5,4400.0,198
210.0,14.0,4200.0,354
170.0,15.0,4800.0,50
230.0,14.25,4200.0,498
50.0,12.5,4000.0,3
10.0,7.25,4400.0,2
160.0,13.5,4200.0,328
110.0,10.0,5000.0,10
260.0,11.75,4800.0,1
90.0,13.0,5000.0,4
390.0,15.25,3800.0,14
210.0,14.75,4400.0,87
420.0,13.25,4600.0,3
30.0,8.0,4800.0,1
140.0,12.0,5000.0,237
230.0,11.25,5000.0,1
200.0,12.75,4800.0,1376
30.0,14.5,2800.0,4
480.0,15.75,3600.0,11
440.0,13.25,4800.0,45
480.0,14.25,4600.0,293
430.0,15.0,3800.0,2
50.0,11.5,4400.0,1
50.0,14.25,3600.0,1
390.0,15.25,4400.0,5215
20.0,11.5,3600.0,7
290.0,14.75,3600.0,7
210.0,15.5,4200.0,76
210.0,15.75,4400.0,26
120.0,13.5,3800.0,24
370.0,14.25,4600.0,2526
110.0,15.5,5000.0,1
50.0,11.75,3600.0,8
80.0,14.0,3800.0,54
270.0,15.75,4600.0,68
350.0,15.0,3600.0,3
340.0,15.25,5000.0,20
130.0,12.0,4000.0,1
270.0,14.5,3600.0,1
60.0,12.5,3600.0,24
80.0,15.5,3400.0,892
20.0,15.0,3000.0,30
40.0,9.5,4600.0,50
100.0,14.0,4000.0,23
280.0,15.5,4800.0,25
290.0,14.25,3800.0,1
320.0,13.75,4400.0,108
230.0,15.5,4600.0,49
230.0,13.25,4800.0,1120
0.0,6.25,4400.0,2
260.0,13.0,4600.0,74
220.0,15.5,4600.0,73
120.0,11.75,5000.0,86
0.0,9.5,3200.0,3
40.0,12.5,3400.0,8
20.0,15.5,2800.0,11
180.0,14.5,3800.0,93
20.0,11.75,3400.0,10
480.0,15.25,4000.0,33
140.0,12.0,4600.0,133
100.0,12.25,4400.0,593
150.0,13.0,4400.0,1108
410.0,14.75,4400.0,1805
240.0,14.0,4800.0,71
90.0,11.5,4400.0,62
70.0,15.25,3400.0,133
210.0,15.0,4000.0,1580
180.0,15.25,4600.0,37
170.0,13.5,5000.0,4
10.0,9.5,3200.0,1
90.0,9.5,5000.0,2
390.0,14.5,4200.0,113
120.0,15.0,3800.0,44
220.0,13.5,4200.0,56
50.0,13.0,3600.0,7
200.0,14.75,3800.0,97
110.0,15.75,3600.0,71
130.0,14.75,3800.0,562
280.0,13.5,4800.0,2201
120.0,12.75,3800.0,2
490.0,13.5,4800.0,65
260.0,14.25,4000.0,24
470.0,15.5,4200.0,1172
290.0,11.5,5000.0,1
20.0,10.0,4000.0,3
310.0,15.25,4600.0,88
190.0,12.25,4200.0,1
20.0,11.25,3600.0,7
60.0,13.5,3600.0,122
20.0,14.5,2800.0,15
370.0,15.5,4800.0,50
450.0,15.75,4000.0,348
170.0,12.75,4800.0,324
300.0,14.0,4400.0,643
260.0,13.25,4200.0,1
410.0,14.5,5000.0,691
320.0,15.25,3800.0,34
160.0,13.75,4400.0,247
360.0,13.5,4800.0,323
220.0,12.5,5000.0,1153
100.0,11.0,4600.0,12
50.0,15.75,3200.0,4
320.0,15.75,4600.0,59
230.0,13.75,4600.0,888
100.0,13.5,3600.0,78
160.0,11.25,4800.0,16
80.0,13.0,5000.0,1
150.0,13.75,4400.0,67
370.0,15.75,4200.0,4461
320.0,12.5,4800.0,12
380.0,14.25,4600.0,2086
150.0,12.25,4800.0,836
270.0,15.5,3400.0,35
160.0,15.75,4800.0,5
480.0,15.75,3800.0,24
420.0,15.0,4200.0,388
140.0,14.0,5000.0,11
250.0,12.75,4800.0,163
470.0,13.25,4600.0,2
100.0,14.75,3400.0,757
310.0,13.75,5000.0,829
240.0,13.25,4800.0,1532
330.0,15.0,3800.0,15
420.0,15.0,4400.0,3824
250.0,15.75,4200.0,188
200.0,14.0,4600.0,45
190.0,11.0,5000.0,1
170.0,12.25,4800.0,809
350.0,13.0,4600.0,5
20.0,9.25,3600.0,1
320.0,13.25,4400.0,10
40.0,12.0,3600.0,8
280.0,11.25,4800.0,1
120.0,12.75,3600.0,1
130.0,14.75,4200.0,5
130.0,14.0,3800.0,119
400.0,15.25,4800.0,163
100.0,12.75,4800.0,1
330.0,14.25,5000.0,212
200.0,14.5,5000.0,8
310.0,15.5,5000.0,12
20.0,9.25,4200.0,11
300.0,15.75,4800.0,45
270.0,15.5,4200.0,1058
180.0,14.25,4200.0,1251
0.0,5.25,5000.0,1
170.0,13.25,4200.0,48
280.0,11.75,5000.0,8
180.0,12.0,5000.0,644
130.0,14.5,4200.0,23
350.0,15.25,4400.0,3664
0.0,8.0,3200.0,1
140.0,13.75,4800.0,3
440.0,15.5,4800.0,192
70.0,13.5,3600.0,365
80.0,13.75,4600.0,3
410.0,15.0,4800.0,405
360.0,15.75,5000.0,23
200.0,13.5,4800.0,54
120.0,12.25,4600.0,524
110.0,10.5,5000.0,12
10.0,11.25,3200.0,16
150.0,14.0,4200.0,682
300.0,14.75,4200.0,652
20.0,13.5,3600.0,1
120.0,11.5,4400.0,11
90.0,13.25,4800.0,19
340.0,13.75,4400.0,124
320.0,14.75,4400.0,3769
390.0,15.0,3800.0,9
0.0,7.5,3800.0,1
140.0,15.25,3600.0,1818
240.0,13.75,4600.0,1385
220.0,14.0,4800.0,42
120.0,15.75,4600.0,1
350.0,12.75,4600.0,1
100.0,15.25,3400.0,2119
50.0,12.0,4200.0,2
420.0,15.5,4600.0,557
120.0,13.0,4800.0,2
0.0,5.0,4200.0,1
260.0,13.0,4800.0,681
350.0,14.5,5000.0,134
130.0,12.5,4400.0,558
100.0,14.0,4200.0,9
420.0,15.75,5000.0,38
110.0,12.5,4000.0,11
60.0,11.0,4600.0,32
30.0,14.25,2800.0,1
220.0,11.75,5000.0,52
80.0,13.5,3400.0,41
140.0,15.0,3800.0,429
30.0,15.5,2800.0,37
60.0,9.75,5000.0,133
190.0,12.25,4800.0,175
400.0,14.25,4600.0,1207
380.0,14.5,4600.0,3750
100.0,13.25,3800.0,25
110.0,13.5,3400.0,14
60.0,13.75,3200.0,24
320.0,15.0,4600.0,218
110.0,13.75,3800.0,177
170.0,15.5,4600.0,15
60.0,14.5,3400.0,14
380.0,14.75,4000.0,26
250.0,13.75,4800.0,305
230.0,12.5,4600.0,53
90.0,12.25,4200.0,74
90.0,10.5,4800.0,12
180.0,11.75,4600.0,9
200.0,15.0,3400.0,36
200.0,15.75,5000.0,50
350.0,13.75,4200.0,4
50.0,12.75,3200.0,1
340.0,15.25,4600.0,190
60.0,11.25,4000.0,4
290.0,12.5,5000.0,155
410.0,12.0,5000.0,14
100.0,12.75,4600.0,3
480.0,15.25,4600.0,3902
230.0,14.75,5000.0,9
10.0,8.25,3800.0,1
280.0,15.25,4800.0,19
450.0,15.25,5000.0,139
260.0,15.75,4200.0,240
100.0,15.75,3200.0,540
410.0,15.5,5000.0,38
70.0,11.0,5000.0,3
190.0,14.25,3600.0,23
270.0,15.75,3600.0,731
110.0,14.5,3800.0,260
380.0,15.5,3800.0,56
180.0,15.0,4200.0,69
30.0,13.25,3200.0,44
380.0,15.5,4000.0,295
20.0,10.25,3400.0,7
0.0,8.25,3400.0,1
390.0,15.75,3600.0,125
490.0,13.25,4800.0,9
230.0,12.0,4800.0,28
180.0,13.0,4800.0,169
340.0,12.5,4800.0,6
10.0,9.5,4000.0,1
30.0,8.5,4600.0,1
150.0,15.0,4200.0,11
200.0,15.5,4000.0,159
90.0,14.0,4600.0,4
320.0,13.5,4400.0,61
60.0,13.5,3400.0,46
360.0,14.75,4800.0,282
180.0,14.0,4400.0,374
40.0,15.75,3200.0,1
120.0,12.25,5000.0,4
370.0,15.5,4600.0,195
150.0,14.0,3400.0,4
50.0,11.0,4600.0,2
60.0,11.75,4400.0,9
140.0,15.0,4600.0,21
340.0,13.0,4800.0,124
370.0,15.25,4400.0,4733
80.0,13.25,4200.0,4
10.0,6.75,4800.0,1
150.0,11.0,5000.0,27
420.0,15.5,5000.0,57
110.0,10.25,4800.0,2
80.0,14.5,3400.0,837
30.0,12.5,3000.0,21
110.0,13.75,5000.0,8
100.0,15.75,4800.0,1
350.0,14.25,4200.0,73
150.0,14.5,3600.0,224
170.0,14.25,4400.0,41
130.0,13.25,4000.0,44
60.0,12.75,3800.0,64
50.0,15.0,3400.0,2
