dist_bin_pc,v_bin,teff_bin_k,n
1080.0,15.75,15200.0,1
1900.0,12.25,15200.0,1
1900.0,12.5,15000.0,1
1850.0,15.75,15000.0,35
1710.0,9.25,16800.0,1
1730.0,10.25,19800.0,1
1670.0,12.75,24600.0,1
1960.0,10.0,16400.0,2
1190.0,8.25,15600.0,1
1580.0,6.75,17200.0,1
1030.0,9.0,16200.0,1
1120.0,15.25,15000.0,9
1540.0,7.75,20400.0,1
1640.0,9.5,19600.0,1
700.0,9.0,15000.0,1
980.0,14.0,15400.0,1
940.0,13.75,15000.0,4
690.0,8.0,16800.0,1
1610.0,14.0,15000.0,3
1250.0,15.0,15400.0,1
1480.0,13.0,15000.0,1
1470.0,15.0,15000.0,22
1600.0,14.5,15000.0,10
1790.0,10.5,19600.0,1
710.0,13.5,15000.0,2
1840.0,10.25,32000.0,1
1820.0,15.5,17400.0,1
1090.0,13.0,15000.0,1
360.0,11.0,15000.0,1
1250.0,12.5,18000.0,1
1320.0,10.5,16200.0,1
1080.0,14.25,15000.0,11
1840.0,9.0,18200.0,1
1830.0,15.25,15200.0,1
1430.0,12.0,15000.0,1
810.0,13.75,15000.0,5
1950.0,12.25,17600.0,1
640.0,5.75,16200.0,1
1040.0,12.5,16000.0,1
1780.0,14.5,16400.0,1
1800.0,15.25,15000.0,39
1950.0,13.75,20600.0,1
1180.0,14.5,16000.0,1
660.0,8.0,18800.0,1
1730.0,14.0,15400.0,1
1530.0,12.5,17200.0,1
1230.0,14.0,15000.0,4
1680.0,8.5,23800.0,1
1690.0,15.75,15400.0,2
1520.0,15.0,15200.0,1
380.0,5.75,16000.0,1
1200.0,10.5,16000.0,1
790.0,7.5,15800.0,1
710.0,8.75,15000.0,1
1520.0,15.75,15200.0,3
1820.0,10.25,19200.0,1
1970.0,10.0,16400.0,1
1100.0,15.25,15200.0,1
1230.0,11.75,15000.0,1
1580.0,14.25,15200.0,1
1550.0,6.5,24600.0,1
1450.0,14.5,16800.0,1
1870.0,12.75,33200.0,1
660.0,10.0,15000.0,1
960.0,13.5,16800.0,1
830.0,13.75,15600.0,1
1360.0,15.0,15000.0,23
1520.0,15.25,18200.0,1
1680.0,15.5,15600.0,1
1140.0,14.25,15000.0,12
1760.0,14.75,15200.0,1
1110.0,10.75,15000.0,1
790.0,9.0,29800.0,1
470.0,7.25,15000.0,1
820.0,9.5,15400.0,1
1730.0,15.0,15400.0,2
750.0,8.0,15200.0,1
1940.0,15.5,15600.0,1
800.0,13.0,15000.0,3
1910.0,12.5,16400.0,1
670.0,14.0,15400.0,1
1410.0,13.5,15000.0,2
1360.0,14.75,16000.0,1
1400.0,9.75,30000.0,1
1080.0,10.25,18000.0,1
1520.0,12.25,15000.0,1
1470.0,9.5,16800.0,1
820.0,14.75,15000.0,3
1730.0,9.5,15400.0,1
1660.0,10.0,21400.0,1
1470.0,9.5,16000.0,1
830.0,13.0,15000.0,1
1460.0,12.25,15000.0,3
710.0,7.25,17800.0,1
1030.0,8.25,23600.0,1
1720.0,15.25,16600.0,1
1340.0,14.25,15000.0,9
1470.0,9.5,15000.0,1
1940.0,11.25,16400.0,2
410.0,4.75,37400.0,1
890.0,14.75,15000.0,1
1180.0,10.5,16200.0,1
190.0,5.25,15400.0,1
1740.0,14.75,15000.0,21
1570.0,9.5,19600.0,1
970.0,13.5,15000.0,3
1210.0,10.5,19200.0,1
1790.0,15.75,15200.0,1
1620.0,12.75,37400.0,1
1760.0,10.25,15200.0,1
1780.0,15.0,15000.0,36
1150.0,8.75,21200.0,1
1290.0,8.25,16200.0,1
870.0,9.0,15200.0,1
930.0,15.25,16800.0,1
1800.0,10.5,32000.0,1
1980.0,12.0,16200.0,1
1760.0,11.75,16200.0,1
1540.0,11.25,16600.0,1
1520.0,14.5,15400.0,2
1090.0,9.5,19200.0,1
1910.0,12.25,30000.0,1
190.0,4.75,15600.0,1
1790.0,10.5,16200.0,2
1980.0,8.75,21200.0,1
1640.0,9.25,22200.0,1
1510.0,15.25,15400.0,2
490.0,13.0,15000.0,3
1920.0,9.25,18200.0,1
1050.0,11.25,15400.0,1
890.0,13.5,15000.0,6
1710.0,12.0,15000.0,1
1960.0,13.75,15000.0,2
1920.0,10.0,17200.0,1
950.0,15.5,15000.0,4
1100.0,13.25,15000.0,3
1100.0,8.5,18600.0,1
1600.0,10.0,31000.0,1
1010.0,7.25,23800.0,1
960.0,14.0,15400.0,1
1990.0,12.25,34800.0,1
1550.0,11.75,15000.0,1
1880.0,10.25,16000.0,1
1110.0,14.0,15000.0,11
540.0,8.25,15400.0,1
1270.0,11.0,30000.0,1
1610.0,15.5,15600.0,1
1380.0,10.25,30000.0,1
1120.0,12.75,15000.0,1
1190.0,9.75,30000.0,1
1220.0,11.0,15600.0,1
1980.0,10.0,16800.0,1
1230.0,15.75,15000.0,11
1370.0,13.0,15000.0,1
1560.0,14.5,15400.0,1
1600.0,13.25,15000.0,2
1420.0,8.5,15800.0,1
620.0,9.25,16400.0,1
1050.0,14.5,15400.0,1
1470.0,11.5,15000.0,2
1850.0,13.25,15800.0,1
1530.0,14.5,16000.0,1
990.0,10.75,15000.0,1
1600.0,14.0,16800.0,1
1790.0,14.75,16800.0,1
1740.0,10.0,22000.0,1
1690.0,10.0,15000.0,1
1380.0,10.0,15400.0,1
1030.0,13.5,15000.0,2
1890.0,15.0,15600.0,1
1750.0,11.0,15200.0,2
1850.0,12.75,16000.0,1
1380.0,9.0,20600.0,1
1640.0,11.75,15800.0,1
1140.0,15.25,15000.0,18
800.0,12.75,15600.0,1
1590.0,15.0,16000.0,1
1270.0,9.25,17600.0,1
800.0,14.0,16000.0,1
1880.0,13.25,15000.0,3
1450.0,9.0,16200.0,1
1540.0,8.75,16800.0,1
1900.0,14.5,15600.0,2
840.0,8.75,16400.0,1
970.0,14.5,15000.0,9
1990.0,11.0,17000.0,1
1170.0,10.25,15600.0,1
1880.0,11.75,30000.0,1
1760.0,15.75,15000.0,24
1850.0,15.5,19800.0,1
1880.0,10.75,15000.0,1
1490.0,10.0,19800.0,1
1420.0,13.5,15000.0,3
1970.0,12.25,15000.0,1
1070.0,9.75,16000.0,1
1840.0,9.0,29000.0,1
1520.0,15.0,15000.0,27
1350.0,13.0,15000.0,3
1230.0,13.5,15000.0,5
600.0,14.25,15000.0,1
1840.0,12.0,15000.0,2
1550.0,9.25,16600.0,1
1830.0,12.25,32400.0,1
1290.0,14.5,16000.0,1
1310.0,11.5,15600.0,1
1300.0,14.5,15000.0,16
1620.0,13.5,15000.0,4
1340.0,9.75,18000.0,1
1370.0,14.75,15000.0,20
1630.0,12.5,15000.0,1
1270.0,15.25,15200.0,1
880.0,14.25,15000.0,7
1790.0,10.5,19000.0,1
1500.0,15.25,15000.0,29
1160.0,11.0,15200.0,1
790.0,8.75,16400.0,1
1270.0,9.25,15000.0,1
1650.0,14.75,15000.0,22
1510.0,11.5,30000.0,1
1790.0,15.75,16600.0,1
860.0,5.75,26400.0,1
1460.0,14.5,17000.0,1
1390.0,11.5,35000.0,1
1380.0,13.5,16400.0,1
1890.0,11.5,19400.0,1
1290.0,9.75,18000.0,1
1590.0,15.25,15600.0,1
1780.0,10.0,19000.0,1
1580.0,13.75,15000.0,3
1940.0,15.5,15200.0,2
1160.0,15.0,15000.0,23
880.0,7.5,22200.0,1
1540.0,15.0,15400.0,1
1670.0,14.25,17000.0,1
1870.0,9.75,17400.0,1
1570.0,8.75,19600.0,1
1450.0,13.75,15000.0,5
700.0,14.25,15000.0,1
660.0,12.0,15000.0,1
1710.0,11.5,16000.0,1
1750.0,15.0,15000.0,28
1600.0,10.75,22600.0,1
1610.0,11.5,32800.0,1
1940.0,14.75,19800.0,1
1050.0,9.0,15000.0,1
1290.0,13.5,15000.0,3
1270.0,8.75,18800.0,2
1180.0,13.5,15400.0,1
1230.0,15.25,15000.0,15
1490.0,13.75,15000.0,3
1450.0,13.5,15000.0,2
1340.0,14.5,15600.0,1
1210.0,14.75,15000.0,21
1140.0,10.25,17200.0,1
1980.0,8.75,25200.0,1
420.0,7.75,15000.0,1
1340.0,9.5,16600.0,1
1890.0,11.0,16000.0,1
1560.0,12.25,15000.0,2
610.0,11.0,15000.0,1
1680.0,14.75,15000.0,21
1480.0,13.25,17000.0,1
1770.0,15.5,15200.0,1
780.0,14.0,17200.0,1
220.0,6.5,15000.0,1
1890.0,9.75,16400.0,1
480.0,6.5,15400.0,1
860.0,14.0,15000.0,7
870.0,9.25,15200.0,1
1290.0,12.75,15000.0,3
1540.0,10.0,15400.0,1
1130.0,13.25,15000.0,1
1580.0,12.5,29400.0,1
1430.0,9.0,15600.0,1
1000.0,10.25,15000.0,1
