dist_bin_pc,v_bin,teff_bin_k,n
270.0,10.75,4800.0,24
290.0,10.5,4800.0,36
200.0,11.75,5000.0,1
360.0,12.0,5000.0,7
110.0,7.75,4800.0,2
60.0,7.25,5000.0,4
230.0,10.25,4600.0,4
210.0,9.25,5000.0,15
410.0,10.75,5000.0,44
70.0,8.25,5000.0,1
410.0,12.75,4800.0,1
320.0,15.5,3400.0,3
30.0,12.0,3200.0,6
410.0,10.25,4800.0,2
430.0,12.75,5000.0,9
340.0,11.5,5000.0,30
240.0,11.5,5000.0,1
140.0,9.75,4600.0,1
330.0,15.5,3600.0,2
100.0,8.25,5000.0,11
40.0,12.25,3400.0,5
130.0,15.5,3400.0,1
180.0,15.0,3400.0,4
250.0,10.0,5000.0,38
380.0,10.5,5000.0,31
340.0,11.25,4800.0,27
460.0,11.5,4600.0,7
260.0,15.75,3400.0,10
360.0,10.0,4800.0,1
230.0,9.25,4800.0,10
260.0,10.0,5000.0,29
480.0,12.5,5000.0,26
140.0,9.5,4800.0,5
340.0,15.5,3600.0,2
140.0,14.0,3600.0,1
380.0,13.5,4800.0,1
420.0,12.75,4800.0,11
70.0,7.5,5000.0,3
110.0,8.75,4600.0,2
120.0,9.5,4800.0,2
350.0,12.0,4800.0,8
390.0,13.25,5000.0,1
380.0,15.75,3400.0,5
350.0,11.25,4800.0,28
460.0,10.75,5000.0,28
80.0,7.25,4800.0,2
80.0,14.0,3200.0,4
180.0,8.25,5000.0,2
350.0,11.0,4600.0,1
220.0,8.75,4800.0,1
320.0,9.75,5000.0,11
90.0,7.5,5000.0,3
40.0,6.0,4800.0,2
410.0,13.0,4800.0,2
160.0,15.25,3200.0,4
250.0,11.0,5000.0,5
490.0,13.0,5000.0,8
40.0,13.25,3200.0,1
410.0,11.25,5000.0,66
290.0,11.25,4600.0,1
150.0,8.5,4800.0,7
380.0,12.5,5000.0,3
110.0,15.75,3000.0,1
100.0,15.0,3200.0,1
360.0,12.5,5000.0,3
240.0,15.75,3400.0,18
400.0,11.75,4600.0,2
20.0,11.5,3200.0,5
160.0,9.75,4600.0,1
440.0,12.25,4800.0,23
140.0,13.75,3400.0,2
400.0,12.0,5000.0,10
320.0,12.25,4800.0,3
310.0,11.75,4800.0,6
420.0,15.25,5000.0,1
400.0,13.75,5000.0,1
240.0,9.75,4800.0,26
180.0,10.75,5000.0,1
430.0,13.0,4600.0,1
490.0,10.75,4800.0,5
190.0,15.75,3000.0,1
190.0,9.0,4800.0,8
400.0,12.25,5000.0,8
290.0,15.75,3400.0,4
480.0,12.0,4800.0,63
40.0,12.0,3400.0,4
50.0,7.0,4800.0,3
210.0,15.5,3200.0,1
380.0,12.0,4600.0,1
330.0,11.0,5000.0,40
350.0,9.75,5000.0,7
