dist_bin_pc,v_bin,teff_bin_k,n
310.0,14.0,6200.0,2
390.0,13.25,6000.0,55
450.0,15.75,5800.0,8
310.0,11.75,6400.0,16
280.0,14.0,5600.0,6
240.0,10.0,6400.0,81
380.0,11.5,6200.0,600
30.0,7.5,5600.0,37
140.0,14.5,5400.0,8
170.0,14.5,5600.0,5
260.0,12.0,6200.0,13
470.0,14.25,6000.0,40
120.0,14.0,5200.0,4
140.0,8.5,6000.0,2
130.0,9.0,6200.0,131
450.0,13.75,5800.0,251
300.0,11.5,6200.0,171
210.0,10.5,6000.0,552
350.0,14.25,6200.0,1
150.0,9.0,5600.0,4
80.0,11.0,5200.0,2
480.0,15.75,5800.0,4
470.0,15.0,5200.0,202
370.0,11.75,6000.0,964
220.0,13.25,5600.0,10
280.0,12.25,5800.0,284
490.0,11.75,6200.0,339
220.0,15.75,5400.0,6
440.0,12.5,5600.0,1805
380.0,15.75,6000.0,6
240.0,14.5,6200.0,1
360.0,14.25,5600.0,36
250.0,11.0,6200.0,180
260.0,10.0,6000.0,44
350.0,13.0,6200.0,12
100.0,9.5,5600.0,205
310.0,15.25,5600.0,9
250.0,13.75,5800.0,4
220.0,9.75,6000.0,62
330.0,13.25,5400.0,968
240.0,14.0,6000.0,1
440.0,12.25,5400.0,453
260.0,12.75,6200.0,1
110.0,15.5,6200.0,1
450.0,11.5,5600.0,93
350.0,13.75,5800.0,42
90.0,13.75,5400.0,2
160.0,14.75,5200.0,57
270.0,14.5,5200.0,7
330.0,13.0,6000.0,47
190.0,11.75,5200.0,582
80.0,9.0,6200.0,1
310.0,13.0,5800.0,87
480.0,14.0,6200.0,6
440.0,14.75,5400.0,121
440.0,13.75,5600.0,698
220.0,12.75,5400.0,91
200.0,9.75,5800.0,52
410.0,12.0,5800.0,955
280.0,15.75,5600.0,20
180.0,13.5,5600.0,1
230.0,11.5,6000.0,51
40.0,7.0,5400.0,5
240.0,13.25,5800.0,6
280.0,14.25,5600.0,7
260.0,12.75,5600.0,153
210.0,13.25,5800.0,2
180.0,11.0,6000.0,34
470.0,12.75,5800.0,2084
230.0,13.25,5400.0,24
310.0,12.75,5800.0,156
100.0,8.75,5400.0,11
460.0,11.75,5800.0,305
270.0,15.5,6200.0,1
490.0,11.75,5600.0,144
470.0,14.0,5600.0,570
180.0,10.75,6200.0,16
170.0,11.5,5400.0,710
270.0,12.0,5600.0,1588
300.0,15.0,5400.0,8
200.0,14.0,5600.0,2
160.0,11.75,5600.0,22
260.0,11.0,6200.0,278
170.0,12.5,5800.0,3
20.0,5.75,5800.0,8
200.0,9.5,6200.0,63
110.0,8.5,6200.0,42
380.0,13.25,6200.0,15
280.0,13.5,5200.0,172
170.0,15.0,5800.0,2
360.0,13.75,5200.0,1029
210.0,12.5,6000.0,3
240.0,12.0,5400.0,922
360.0,11.5,6000.0,714
80.0,9.25,5800.0,131
130.0,13.0,5600.0,1
190.0,10.75,5800.0,720
90.0,13.25,5600.0,2
290.0,14.75,5600.0,8
400.0,12.0,6000.0,1116
140.0,11.25,5200.0,508
330.0,14.25,6200.0,2
280.0,10.25,6400.0,64
260.0,15.5,5200.0,17
290.0,10.75,5600.0,131
380.0,11.0,6400.0,123
430.0,11.75,5200.0,30
390.0,15.25,5200.0,27
90.0,8.75,5800.0,120
190.0,13.25,5600.0,5
430.0,14.75,5600.0,52
140.0,12.75,5400.0,2
470.0,13.0,5400.0,1349
400.0,11.0,6400.0,91
360.0,11.25,5800.0,233
340.0,11.0,6000.0,271
480.0,13.0,5800.0,1834
120.0,10.75,6200.0,1
180.0,11.25,6400.0,1
140.0,15.25,5200.0,2
190.0,9.0,6400.0,1
460.0,15.0,5800.0,26
330.0,10.25,6400.0,8
430.0,11.25,5800.0,55
470.0,13.75,6400.0,4
480.0,14.75,6200.0,4
480.0,14.5,5800.0,72
380.0,14.25,6200.0,3
290.0,15.75,5600.0,13
310.0,14.0,5800.0,9
420.0,13.0,5200.0,628
100.0,11.25,5600.0,1
380.0,14.0,5400.0,313
150.0,10.5,6000.0,43
490.0,12.0,5200.0,25
300.0,10.25,5800.0,15
310.0,10.5,5800.0,33
290.0,13.25,5400.0,222
190.0,10.0,6000.0,275
150.0,11.75,5200.0,422
40.0,6.25,6200.0,3
380.0,14.0,5600.0,136
150.0,14.5,5400.0,19
80.0,8.0,5600.0,19
200.0,12.0,5200.0,869
400.0,13.25,5600.0,1606
350.0,11.0,5800.0,131
470.0,12.5,6400.0,72
460.0,15.75,6200.0,4
450.0,11.5,5800.0,129
140.0,14.75,5400.0,3
400.0,14.75,5800.0,18
310.0,15.25,5400.0,11
290.0,11.25,5600.0,506
290.0,10.25,5800.0,12
240.0,10.0,6200.0,117
370.0,14.25,5400.0,110
40.0,9.0,5200.0,32
290.0,14.75,5400.0,13
130.0,12.0,5600.0,1
140.0,14.0,5200.0,2
400.0,13.5,6000.0,47
220.0,11.0,5200.0,17
220.0,11.0,5800.0,781
180.0,10.75,5800.0,600
280.0,13.75,5400.0,47
430.0,11.0,6000.0,21
210.0,13.5,5800.0,1
410.0,13.25,5400.0,2194
490.0,13.75,6400.0,6
470.0,12.75,5200.0,193
230.0,13.5,5200.0,30
110.0,10.0,6000.0,16
400.0,14.75,6400.0,1
470.0,15.0,6200.0,5
200.0,10.5,6000.0,530
350.0,14.0,6000.0,3
370.0,11.75,5200.0,43
280.0,12.75,5600.0,349
400.0,11.0,6200.0,122
440.0,14.0,6000.0,43
300.0,11.75,5200.0,58
330.0,14.25,5600.0,13
420.0,13.75,5600.0,458
210.0,11.0,6000.0,231
140.0,11.75,5200.0,173
400.0,12.75,6200.0,38
40.0,8.5,5400.0,67
380.0,11.75,5600.0,616
90.0,8.5,6000.0,95
260.0,15.5,6000.0,2
440.0,15.75,5200.0,41
170.0,9.25,5600.0,6
380.0,15.0,6400.0,1
490.0,12.75,5200.0,153
250.0,15.75,5200.0,77
430.0,12.5,5600.0,1885
310.0,15.75,5800.0,3
100.0,13.5,5600.0,1
390.0,15.0,6200.0,5
230.0,11.25,5200.0,37
10.0,5.75,5400.0,2
260.0,14.25,5400.0,11
180.0,12.0,5600.0,35
250.0,14.5,6000.0,1
270.0,13.0,5200.0,1111
300.0,11.75,6000.0,330
140.0,12.5,5400.0,2
320.0,12.25,5800.0,770
20.0,5.75,5400.0,1
150.0,9.75,5400.0,45
240.0,10.25,5400.0,13
450.0,12.75,6000.0,541
220.0,12.75,5200.0,373
410.0,15.25,5800.0,10
200.0,10.0,6200.0,282
170.0,9.0,6400.0,22
490.0,15.0,6000.0,15
350.0,14.5,5200.0,66
340.0,13.0,5600.0,913
10.0,4.5,6000.0,1
440.0,13.25,5800.0,644
340.0,13.25,6000.0,19
110.0,9.5,6200.0,6
190.0,10.5,6400.0,16
470.0,12.0,6400.0,260
210.0,15.25,5600.0,2
280.0,14.75,5600.0,6
360.0,11.25,5400.0,80
230.0,12.5,5800.0,29
470.0,15.75,5800.0,8
40.0,7.25,6000.0,39
240.0,10.25,5600.0,71
220.0,13.0,5600.0,17
110.0,8.25,6200.0,28
250.0,10.5,6200.0,354
80.0,8.0,6000.0,31
390.0,15.25,5400.0,26
290.0,11.75,5200.0,80
170.0,10.0,5200.0,10
10.0,5.75,5800.0,5
420.0,15.5,6000.0,7
270.0,13.5,5600.0,29
260.0,11.75,5800.0,576
210.0,10.5,5400.0,101
350.0,15.0,6400.0,1
130.0,15.25,5400.0,1
290.0,13.25,6200.0,1
100.0,9.25,6000.0,163
350.0,15.0,6000.0,4
480.0,12.75,5200.0,177
170.0,11.0,5800.0,199
190.0,15.25,5200.0,89
350.0,11.5,6000.0,764
100.0,13.75,5200.0,13
240.0,11.5,6400.0,3
410.0,11.75,6000.0,724
160.0,13.25,5600.0,1
240.0,9.75,6200.0,24
230.0,11.0,6000.0,487
380.0,14.0,6000.0,16
380.0,10.5,6200.0,1
90.0,8.5,5800.0,55
330.0,15.5,5400.0,10
150.0,11.25,5400.0,625
10.0,5.25,5400.0,2
460.0,12.5,5200.0,92
390.0,11.25,6000.0,291
220.0,11.25,6400.0,6
380.0,15.75,5200.0,15
200.0,10.5,5800.0,462
300.0,12.0,6400.0,6
360.0,12.0,6200.0,162
190.0,11.5,5600.0,737
60.0,7.5,6200.0,44
220.0,10.5,5600.0,238
410.0,15.75,5200.0,38
250.0,11.75,5800.0,404
390.0,15.75,5200.0,16
150.0,12.5,5800.0,2
420.0,13.5,5800.0,275
230.0,10.0,6400.0,92
410.0,12.0,6000.0,1117
140.0,11.0,5200.0,191
360.0,15.75,5200.0,19
490.0,11.5,6000.0,161
220.0,10.0,6400.0,114
240.0,10.5,6400.0,145
80.0,7.75,6200.0,31
190.0,10.75,6400.0,2
100.0,9.25,5400.0,12
30.0,6.5,5800.0,10
100.0,10.5,6000.0,1
230.0,13.0,5400.0,66
30.0,8.5,5200.0,9
270.0,12.25,6000.0,29
350.0,14.75,6200.0,1
490.0,11.5,6400.0,115
70.0,9.5,5800.0,5
460.0,14.5,5600.0,156
310.0,15.25,6200.0,1
110.0,8.75,6400.0,55
250.0,15.5,5400.0,45
20.0,6.5,5800.0,14
130.0,9.25,5200.0,3
140.0,9.0,5600.0,19
80.0,9.0,5200.0,1
370.0,12.25,5400.0,567
450.0,12.25,5800.0,1174
290.0,13.0,5200.0,1703
40.0,6.75,5400.0,1
370.0,13.5,5600.0,388
460.0,12.0,6400.0,194
360.0,15.25,5800.0,2
130.0,10.25,5800.0,262
140.0,9.25,6400.0,84
470.0,13.25,5800.0,1045
270.0,11.75,6200.0,28
460.0,11.75,6200.0,506
110.0,14.5,5400.0,3
260.0,13.75,5400.0,20
40.0,7.0,6400.0,1
150.0,14.75,5400.0,7
290.0,13.75,6000.0,4
420.0,13.5,6400.0,4
450.0,15.0,6400.0,2
260.0,13.5,6200.0,2
290.0,11.5,5800.0,938
340.0,11.25,6200.0,509
190.0,14.75,6000.0,1
430.0,12.5,5400.0,674
230.0,10.5,6200.0,416
210.0,14.25,6000.0,1
300.0,12.5,6000.0,49
210.0,12.5,5400.0,167
20.0,4.5,6400.0,1
440.0,15.5,5200.0,46
330.0,14.0,6200.0,1
150.0,15.75,5200.0,1
220.0,10.75,6400.0,15
250.0,15.75,5800.0,1
140.0,11.25,5600.0,50
130.0,10.25,5200.0,19
420.0,13.75,6200.0,12
420.0,12.5,5400.0,761
260.0,11.0,5400.0,140
80.0,8.75,6400.0,1
430.0,12.0,6400.0,103
260.0,10.5,5600.0,108
70.0,8.25,5800.0,67
300.0,11.5,5800.0,868
350.0,14.25,6000.0,7
450.0,13.5,5600.0,1847
320.0,12.25,6200.0,22
160.0,12.5,5800.0,1
180.0,14.75,5400.0,21
330.0,13.5,6200.0,4
310.0,12.25,5800.0,630
150.0,10.5,5600.0,585
190.0,10.25,5600.0,219
40.0,6.5,6000.0,6
320.0,12.75,6200.0,7
240.0,11.25,5600.0,701
150.0,10.0,5800.0,314
300.0,14.25,6000.0,3
110.0,8.0,6400.0,4
190.0,9.25,6000.0,8
80.0,10.25,5200.0,208
250.0,11.0,6400.0,29
390.0,13.25,6200.0,13
370.0,15.5,5800.0,3
180.0,10.25,5800.0,359
120.0,9.25,5400.0,23
350.0,11.25,5800.0,274
330.0,10.75,5400.0,6
390.0,13.75,6000.0,14
150.0,11.5,5800.0,5
340.0,12.0,6400.0,17
80.0,8.25,6200.0,91
230.0,15.25,5600.0,8
220.0,10.0,5600.0,45
240.0,15.75,5200.0,95
80.0,8.25,5800.0,38
230.0,13.25,5200.0,62
190.0,10.5,6000.0,493
30.0,6.0,5800.0,3
380.0,11.0,6200.0,166
70.0,8.0,6400.0,11
150.0,8.75,5800.0,4
80.0,8.25,5200.0,1
100.0,13.5,6200.0,1
280.0,14.75,5200.0,8
200.0,13.0,6000.0,1
70.0,8.75,5400.0,15
480.0,11.5,5800.0,81
450.0,12.25,6000.0,1362
280.0,9.75,6400.0,1
300.0,12.25,5800.0,504
140.0,10.25,6200.0,5
210.0,12.25,6200.0,2
250.0,14.25,5200.0,13
410.0,13.75,5200.0,2593
50.0,8.75,5800.0,4
110.0,8.25,5600.0,3
310.0,12.75,5600.0,911
90.0,9.5,5800.0,180
10.0,6.25,5200.0,5
360.0,11.25,6000.0,420
110.0,8.5,5400.0,2
450.0,15.0,5600.0,45
460.0,11.5,6200.0,266
190.0,11.75,6200.0,1
280.0,12.5,5200.0,992
30.0,5.75,5600.0,1
350.0,14.75,5600.0,9
40.0,7.5,5600.0,32
150.0,8.75,6000.0,6
170.0,13.5,5200.0,5
410.0,12.5,6000.0,532
70.0,8.25,6400.0,4
400.0,14.5,5400.0,111
120.0,10.0,5400.0,54
210.0,14.75,6000.0,2
450.0,12.25,5400.0,463
110.0,9.0,6200.0,141
110.0,10.5,5400.0,363
430.0,14.5,6400.0,2
280.0,13.75,6000.0,1
480.0,15.0,6400.0,5
400.0,14.25,5600.0,93
290.0,13.0,5800.0,60
430.0,11.0,5800.0,4
390.0,15.5,5400.0,23
200.0,10.0,6400.0,124
370.0,13.25,6400.0,1
70.0,10.75,5400.0,1
90.0,10.0,5600.0,275
390.0,13.75,6400.0,1
170.0,11.25,5200.0,186
20.0,7.25,5400.0,17
120.0,10.25,5400.0,141
80.0,8.25,5600.0,30
390.0,12.25,6400.0,23
320.0,13.25,6200.0,1
260.0,13.75,6000.0,2
290.0,15.0,6000.0,1
290.0,15.5,5400.0,13
490.0,13.5,5200.0,1533
240.0,15.0,6000.0,4
460.0,11.25,6200.0,104
130.0,9.0,5400.0,7
160.0,10.0,5600.0,195
350.0,11.25,5400.0,75
190.0,14.5,5800.0,2
160.0,10.75,5400.0,200
450.0,14.75,5400.0,153
130.0,12.75,5200.0,4
470.0,11.75,5400.0,66
490.0,15.25,6400.0,2
90.0,10.75,5800.0,1
480.0,13.0,6000.0,475
320.0,13.0,6000.0,22
480.0,12.5,6400.0,67
450.0,12.75,6400.0,25
30.0,7.25,5800.0,25
450.0,11.25,5600.0,15
250.0,11.75,6200.0,18
330.0,10.5,6200.0,77
360.0,13.5,5200.0,2062
390.0,15.75,5600.0,8
300.0,12.5,6400.0,1
170.0,9.5,6400.0,107
80.0,7.25,6200.0,1
490.0,11.5,5800.0,53
120.0,8.25,5800.0,1
490.0,14.0,6200.0,18
300.0,13.5,6200.0,2
380.0,13.75,5400.0,626
480.0,11.75,6200.0,412
450.0,15.25,5400.0,49
190.0,11.0,5600.0,896
130.0,14.25,5200.0,37
370.0,14.5,5200.0,118
420.0,15.25,5600.0,21
180.0,10.0,5800.0,214
130.0,11.0,5200.0,317
170.0,14.0,5400.0,1
290.0,15.5,5800.0,7
290.0,11.75,6200.0,54
470.0,11.0,6400.0,8
90.0,7.75,6400.0,10
90.0,7.5,6400.0,1
220.0,12.5,6200.0,1
190.0,10.25,6000.0,452
180.0,9.5,6400.0,75
260.0,11.25,5400.0,184
170.0,13.25,5200.0,6
20.0,6.0,6000.0,10
400.0,15.5,5200.0,30
320.0,15.5,5800.0,6
0.0,4.75,5400.0,1
40.0,7.25,6200.0,4
320.0,14.5,5400.0,11
430.0,14.25,5200.0,764
310.0,12.5,5400.0,1450
200.0,14.75,5400.0,6
460.0,11.75,5200.0,11
170.0,9.75,6400.0,85
250.0,15.5,5800.0,3
270.0,12.5,5200.0,1150
250.0,13.75,5600.0,4
370.0,13.25,6200.0,9
350.0,11.5,5200.0,44
320.0,15.25,5600.0,8
190.0,13.75,5400.0,1
490.0,11.25,6400.0,25
260.0,13.0,5400.0,212
260.0,10.25,5800.0,67
140.0,10.0,6400.0,2
310.0,11.75,5400.0,330
150.0,11.75,5800.0,2
360.0,11.5,5400.0,166
180.0,9.25,6000.0,33
410.0,12.25,5400.0,468
100.0,9.75,6200.0,1
100.0,9.0,5800.0,120
200.0,9.75,6400.0,87
420.0,15.75,6000.0,11
440.0,13.75,5400.0,1887
160.0,14.75,5800.0,2
260.0,11.25,6000.0,518
330.0,15.0,5200.0,20
470.0,14.25,5200.0,1856
200.0,13.0,6200.0,1
380.0,13.5,5200.0,2411
130.0,8.5,6400.0,20
490.0,14.75,6000.0,20
440.0,11.0,6200.0,27
310.0,14.5,5600.0,12
400.0,14.25,6000.0,12
360.0,12.5,6000.0,156
30.0,7.0,5600.0,16
180.0,11.75,5800.0,17
370.0,13.0,5800.0,300
200.0,11.25,6200.0,6
460.0,13.25,5600.0,3081
160.0,9.5,5400.0,23
340.0,11.75,6400.0,27
220.0,14.75,5800.0,2
160.0,12.0,6200.0,1
460.0,15.75,6000.0,5
280.0,11.25,6400.0,28
130.0,10.5,6200.0,1
