proposer,pl_name,pl_trandur,pl_orbper,pl_radj,pl_bmassj,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,ra_in,dec_in,sy_vmag,target,teff,r_star,m_star,ra_etc,dec_etc,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_median_snr,NUV_max_snr,NUV_transit_uncert,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_median_snr,VIS_max_snr,VIS_transit_uncert,NIR_min_flux,NIR_median_flux,NIR_max_flux,NIR_snr,NIR_transit_uncert,etc_version,etc_git_sha,category,req_nuv,req_vis,req_nir,n_transits_needed,t_need_h,vis_waltzer_year,vis_days,vis_intervals_doy
SDT,WASP-189 b,4.31,2.7240317,1.374,2.13,3105.0,0.0508,8000.0,2.33,2.36,225.686732,-3.0314874,6.59776,WASP-189 b,8000.0,2.33,2.36,225.686732,-3.0314874,6.59776,4.31,19.74762514335152,860.5861586897755,2597.944470117044,52.32408518446703,553.178644936828,1010.661366761752,2556.522337435126,2869.7446763266285,8465.922300104834,8892.969051747616,1203.2051327280606,2054.6178841496503,2361.5059018599236,688.3097695600948,2579.3773767860266,6678.099173415901,8169.681980281112,127296.86972536393,11.109570607856924,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,4.31,0224-0716,143,"[(55, 197)]"
SDT,KELT-9 b,3.91584,1.4811235,1.891,2.88,4050.0,0.03462,10170.0,2.362,2.52,307.8598998,39.9389161,7.55,KELT-9 b,10170.0,2.362,2.52,307.8598998,39.9389161,7.55,3.91584,529.4359177514714,1907.2142476719189,2104.9678151073035,453.6994357369084,813.6022733321522,877.1062416902628,1738.2124027027444,1077.660427190183,3032.4678151122325,4347.8848345308525,683.4326460482773,1255.0085156423584,1382.319610393797,1126.8557501773205,442.1009454750566,1308.4221176903325,2036.8465600276447,52936.130959868075,26.71546893831811,0.3.5,858bd57,Massive/hot host (Teff≥10000K),50.0,100.0,30.0,1.0,3.91584,0628-1013,108,"[(179, 286)]"
SDT,TOI-257 b,6.485,18.38818,0.639,0.138,1027.0,0.1528,6095.0,1.867,1.407,47.5172608,-50.8322632,7.57,TOI-257 b,6095.0,1.867,1.407,47.5172608,-50.8322632,7.57,6.485,2.659743526754476,134.57811654238577,1058.600103316708,20.79143838750031,247.46366081479857,771.3852897832155,5714.8332717484955,1467.830125506821,3886.491323383271,4328.584036164163,1057.6740160719078,1699.4109249224657,1928.077142063847,832.1786930007041,1788.020645121088,3947.374377846031,4312.343775823121,119399.49196290688,11.844385090117807,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,6.485,0830-1117,80,"[(242, 321)]"
SDT,KELT-20 b,3.57552,3.4741085,1.741,3.382,2262.0,0.0542,8720.0,1.565,1.76,294.6614126,31.2192001,7.59,KELT-20 b,8720.0,1.565,1.76,294.6614126,31.2192001,7.59,3.57552,7.918061574232755,345.06297060901164,1041.6788920945178,21.991992462053496,313.475429895396,576.1890560755941,4511.401620359866,1150.6606432182068,3394.5192684330787,3565.749097338458,691.6153442039164,1183.6019233959464,1360.7758272028352,1194.8388511531705,1034.2341797717795,2677.668837143306,3275.7379427745673,72631.60855030603,19.471048357597425,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,3.57552,0531-0925,118,"[(151, 268)]"
SDT,HD 209458 b,2.958,3.52474859,1.39,0.73,1450.0,0.047035,6091.0,1.19,1.23,330.7950219,18.8842419,7.65,HD 209458 b,6091.0,1.19,1.23,330.7950219,18.8842419,7.65,2.958,2.4708123338104304,125.01854666402926,983.4039130229896,13.118420744547269,160.01961287922467,501.2517349989566,8837.751428885642,1363.564848098812,3610.41980193493,4021.109071948736,688.2582222335637,1106.0773216963155,1254.9430414074498,1278.5847197411229,1661.0110781860678,3666.9781130553265,4006.022415979351,77650.01047743623,18.21266415390944,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,2.958,0626-1110,138,"[(177, 314)]"
SDT,HD 189733 b,1.83208105,2.21857567,1.13,1.13,1200.0,0.03103,5052.0,0.75,0.79,300.1821223,22.7097759,7.67,HD 189733 b,5052.0,0.75,0.79,300.1821223,22.7097759,7.67,1.83208105,0.3132011232565069,47.88401776635564,756.5018867288649,4.900607294836643,69.04145768517444,346.8871101519131,20483.541480567194,1056.616440765246,3769.981644169647,4550.077220204952,506.1049022307532,897.1584260703601,1013.0699229327596,1576.325341520211,2279.8957535843674,4542.107566432156,4671.828151702421,68026.83034453205,20.78905565951845,0.3.5,858bd57,K/M host (Teff<5200K),20.0,100.0,30.0,1.0,1.83208105,0528-1004,130,"[(148, 277)]"
SDT,HD 1397 b,8.6016,11.53533,1.026,0.415,1228.3,0.1097,5521.0,2.336,1.324,4.4471631,-66.3589285,7.79,HD 1397 b,5521.0,2.336,1.324,4.4471631,-66.3589285,7.79,8.6016,0.2804292502944328,42.87366234094577,677.3451344488182,9.544321346973968,138.79530594111736,708.833469425574,10189.203105853325,946.0571317616244,3375.508730958242,4073.9788235013702,1037.0165578000842,1839.0689294565257,2076.763973911716,768.983445765145,2041.3383268855896,4066.8430763195793,4182.990317737047,139301.42395272595,10.152183102256227,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,8.6016,0623-1002,102,"[(174, 275)]"
SDT,TOI-1431 b,2.489,2.650237,1.49,3.12,2370.0,0.046,7690.0,1.92,1.9,316.2036922,55.5880221,8.03,TOI-1431 b,7690.0,1.92,1.9,316.2036922,55.5880221,8.03,2.489,5.279817056748646,230.09032460704907,694.5985365955673,12.70342285067968,210.1974584521359,388.8700710045063,6728.024081676164,767.2683059655974,2263.488426417239,2377.665635422635,469.8927011769496,805.6109416455133,926.4211342429254,1755.4547601904103,689.6343520239175,1785.487706319516,2184.2842344119767,49050.60777356965,28.831723531367285,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,2.489,0816-1022,68,"[(228, 295)]"
SDT,KELT-11 b,7.1,4.73620865,1.35,0.205,1712.0,0.0623,5375.0,2.69,1.44,161.7069053,-9.3993646,8.04,KELT-11 b,5375.0,2.69,1.44,161.7069053,-9.3993646,8.04,7.1,0.2227528713514298,34.05576052344825,538.0343649458092,6.93536637837762,107.04289370380246,569.2586017818363,13211.652949950643,751.4798914205259,2681.2618915584508,3236.0764071759386,838.4039157844734,1488.3974991650994,1680.9494724984402,950.1585182495826,1621.4926696700436,3230.4082817135873,3322.6673149568187,112450.08460397804,12.5763672597812,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,7.1,1230-0517,139,"[(364, 137)]"
SDT,HD 118203 b,5.643,6.1349779,1.14,2.14,1361.0,0.0713,5742.0,2.04,1.27,203.509956,53.7281876,8.05,HD 118203 b,5742.0,2.04,1.27,203.509956,53.7281876,8.05,5.643,0.658560624215991,50.42123767118916,576.0613673743057,7.869358524708541,127.36630904112516,528.0454537599791,11103.51373938662,789.9921533217488,2584.373985451694,3021.939105819028,765.7108469059204,1301.6024218880775,1470.2029090003095,1086.5173101949722,1406.9844448911226,2897.6445330807537,3052.36324383764,94952.36627748542,14.89392647930698,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,5.643,0118-0501,104,"[(18, 121)]"
