pl_name,category,etc_version,etc_git_sha,sy_vmag,st_teff,pl_trandur,req_nuv,req_vis,req_nir,NUV_median_snr,VIS_median_snr,NIR_snr,n_transits_needed,t_need_h,vis_waltzer_year,vis_days
HAT-P-14 b,A/F host (6500–10000K),0.3.5,858bd57,9.988,6600.0,2.2044,20.0,200.0,30.0,51.33972700612449,310.50993094030053,18539.66970585082,1.0,2.2044,0420-0721,93
TOI-2005 b,A/F host (6500–10000K),0.3.5,858bd57,9.867,7130.0,2.249,20.0,200.0,30.0,71.69518032592659,324.45809147846535,18026.21709455242,1.0,2.249,0127-0530,124
TOI-1518 b,A/F host (6500–10000K),0.3.5,858bd57,8.952,7300.0,2.3653693,20.0,200.0,30.0,125.54099427663144,511.64850585692824,30232.34237857589,1.0,2.3653693,0916-1218,94
TOI-1431 b,A/F host (6500–10000K),0.3.5,858bd57,8.03,7690.0,2.489,20.0,200.0,30.0,210.1974584521359,805.6109416455133,49050.60777356965,1.0,2.489,0816-1022,68
WASP-33 b,A/F host (6500–10000K),0.3.5,858bd57,8.14,7430.0,2.8536,20.0,200.0,30.0,212.76547743055815,819.7363994841706,49787.33070077671,1.0,2.8536,0902-0115,136
KOI-13 b,A/F host (6500–10000K),0.3.5,858bd57,9.791,7650.0,3.18137,20.0,200.0,30.0,89.55745009904945,400.0602897029338,22378.62010898984,1.0,3.18137,0704-0817,45
KELT-7 b,A/F host (6500–10000K),0.3.5,858bd57,8.56,6768.0,3.3581,20.0,200.0,30.0,184.9216490857163,731.7500645173177,43917.230007120976,1.0,3.3581,1005-0218,137
WASP-178 b,A/F host (6500–10000K),0.3.5,858bd57,9.946,9360.0,3.4704,20.0,200.0,30.0,241.61383983971945,386.08124053100863,13265.638907354887,1.0,3.4704,0310-0728,141
KELT-17 b,A/F host (6500–10000K),0.3.5,858bd57,9.234,7454.0,3.4752,20.0,200.0,30.0,130.02053449351587,543.5519255055019,31649.242172577597,1.0,3.4752,1118-0404,138
HAT-P-70 b,A/F host (6500–10000K),0.3.5,858bd57,9.47,8450.0,3.48,20.0,200.0,30.0,113.54931653955558,486.87777015314646,27927.020365013912,1.0,3.48,0929-0212,137
KELT-20 b,A/F host (6500–10000K),0.3.5,858bd57,7.59,8720.0,3.57552,20.0,200.0,30.0,313.475429895396,1183.6019233959464,72631.60855030603,1.0,3.57552,0531-0925,118
TOI-778 b,A/F host (6500–10000K),0.3.5,858bd57,9.109,6643.0,3.76,20.0,200.0,30.0,116.79490682733442,613.5226373255794,38737.476254739944,1.0,3.76,0203-0625,143
WASP-79 b,A/F host (6500–10000K),0.3.5,858bd57,10.044,6600.0,3.816,20.0,200.0,30.0,65.0805867354661,397.7921304437319,23634.503835797328,1.0,3.816,0924-0113,112
MASCARA-4 b,A/F host (6500–10000K),0.3.5,858bd57,8.191,7800.0,3.97,20.0,200.0,30.0,244.42779815521337,944.2901366967182,57281.74795115325,1.0,3.97,0322-0512,52
MASCARA-1 b,A/F host (6500–10000K),0.3.5,858bd57,8.28,7490.0,4.226,20.0,200.0,30.0,240.68451378133716,934.8660587212466,56581.02074619015,1.0,4.226,0608-1025,140
WASP-189 b,A/F host (6500–10000K),0.3.5,858bd57,6.59776,8000.0,4.31,20.0,200.0,30.0,553.178644936828,2054.6178841496503,127296.86972536393,1.0,4.31,0224-0716,143
KELT-19 A b,A/F host (6500–10000K),0.3.5,858bd57,9.857,7500.0,4.3944,20.0,200.0,30.0,100.86581224168933,455.6960362070497,25340.770901783293,1.0,4.3944,1106-0322,137
