proposer,pl_name,pl_trandur,pl_orbper,pl_radj,pl_bmassj,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,ra,dec,sy_vmag
SDT,WASP-189 b,4.31,2.7240317,1.374,2.13,3105.0,0.0508,8000.0,2.33,2.36,225.686732,-3.0314874,6.59776
SDT,KELT-9 b,3.91584,1.4811235,1.891,2.88,4050.0,0.03462,10170.0,2.362,2.52,307.8598998,39.9389161,7.55
SDT,TOI-257 b,6.485,18.38818,0.639,0.138,1027.0,0.1528,6095.0,1.867,1.407,47.5172608,-50.8322632,7.57
SDT,KELT-20 b,3.57552,3.4741085,1.741,3.382,2262.0,0.0542,8720.0,1.565,1.76,294.6614126,31.2192001,7.59
SDT,HD 209458 b,2.958,3.52474859,1.39,0.73,1450.0,0.047035,6091.0,1.19,1.23,330.7950219,18.8842419,7.65
SDT,HD 189733 b,1.83208105,2.21857567,1.13,1.13,1200.0,0.03103,5052.0,0.75,0.79,300.1821223,22.7097759,7.67
SDT,HD 1397 b,8.6016,11.53533,1.026,0.415,1228.3,0.1097,5521.0,2.336,1.324,4.4471631,-66.3589285,7.79
SDT,TOI-1431 b,2.489,2.650237,1.49,3.12,2370.0,0.046,7690.0,1.92,1.9,316.2036922,55.5880221,8.03
SDT,KELT-11 b,7.1,4.73620865,1.35,0.205,1712.0,0.0623,5375.0,2.69,1.44,161.7069053,-9.3993646,8.04
SDT,HD 118203 b,5.643,6.1349779,1.14,2.14,1361.0,0.0713,5742.0,2.04,1.27,203.509956,53.7281876,8.05
SDT,WASP-33 b,2.8536,1.21987,1.593,2.093,2781.7,0.0239,7430.0,1.444,1.495,36.7127375,37.5504441,8.14
SDT,HD 221416 b,8.6972718,14.2767,0.836,0.19,789.15,0.1228,5080.0,2.943,1.212,353.0331863,-21.8012007,8.15
SDT,HD 149026 b,3.19,2.87589,0.74,0.38,1626.0,0.043005,6179.0,1.41,1.42,247.6229827,38.3475349,8.15
SDT,DS Tuc A b,3.1764,8.138268,0.50851994,1.3,850.0,0.082,5428.0,0.964,1.01,354.9154673,-69.196043,8.17
SDT,MASCARA-4 b,3.97,2.8240932,1.515,1.675,2250.0,0.0474,7800.0,1.79,1.75,147.5800667,-66.1139253,8.191
