# primary diameter: 35.0 cm
# duty-cycle efficiency: 0.6
# instrumental resolution = lambda/FWHM = 3000.0
#
# SNR stats are per HWHM! resolving element
# Number of transits (for stats): 1
# total in-transit time (for stats): see 'transit_dur' column
#
# Wavelength ranges per band (angstrom)
# NUV  0.2397 0.3252
# VIS  0.45 0.82
# NIR  0.9 1.6
#
target,teff,r_star,m_star,ra,dec,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_median_snr,NUV_max_snr,NUV_transit_uncert,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_median_snr,VIS_max_snr,VIS_transit_uncert,NIR_min_flux,NIR_median_flux,NIR_max_flux,NIR_snr,NIR_transit_uncert
#name,  K,  R_sun,  M_sun,  deg,  deg,  ,  h, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ppm
WASP-189 b,8000.0,2.33,2.36,225.686732,-3.0314874,6.59776,4.31,19.74762514335152,860.5861586897755,2597.944470117044,52.32408518446703,553.178644936828,1010.6613667617519,2556.522337435126,2869.7446763266285,8465.922300104834,8892.969051747616,1203.2051327280606,2054.6178841496503,2361.5059018599236,688.3097695600948,2579.3773767860266,6678.099173415901,8169.6819802811115,127296.86972536393,11.109570607856925
KELT-9 b,10170.0,2.362,2.52,307.8598998,39.9389161,7.55,3.91584,529.4359177514714,1907.2142476719189,2104.9678151073035,453.6994357369084,813.6022733321522,877.1062416902628,1738.2124027027444,1077.6604271901833,3032.4678151122325,4347.8848345308525,683.4326460482773,1255.0085156423584,1382.3196103937967,1126.8557501773205,442.1009454750566,1308.4221176903325,2036.8465600276447,52936.130959868075,26.71546893831811
TOI-257 b,6095.0,1.867,1.407,47.5172608,-50.8322632,7.57,6.485,2.6597435267544762,134.57811654238577,1058.600103316708,20.79143838750031,247.46366081479857,771.3852897832155,5714.8332717484955,1467.8301255068213,3886.491323383271,4328.584036164163,1057.6740160719078,1699.4109249224657,1928.077142063847,832.1786930007041,1788.020645121088,3947.374377846031,4312.343775823121,119399.49196290688,11.844385090117807
KELT-20 b,8720.0,1.565,1.76,294.6614126,31.2192001,7.59,3.57552,7.9180615742327545,345.06297060901164,1041.6788920945178,21.991992462053496,313.475429895396,576.1890560755941,4511.401620359866,1150.6606432182068,3394.5192684330787,3565.749097338458,691.6153442039164,1183.6019233959464,1360.7758272028352,1194.8388511531703,1034.2341797717795,2677.668837143306,3275.7379427745673,72631.60855030603,19.471048357597425
HD 209458 b,6091.0,1.19,1.23,330.7950219,18.8842419,7.65,2.958,2.4708123338104304,125.01854666402926,983.4039130229897,13.118420744547267,160.01961287922467,501.2517349989566,8837.751428885642,1363.564848098812,3610.41980193493,4021.1090719487356,688.2582222335637,1106.0773216963155,1254.9430414074498,1278.5847197411229,1661.0110781860678,3666.9781130553265,4006.0224159793515,77650.01047743623,18.21266415390944
HD 189733 b,5052.0,0.75,0.79,300.1821223,22.7097759,7.67,1.83208105,0.31320112325650695,47.88401776635564,756.5018867288649,4.900607294836643,69.04145768517444,346.8871101519131,20483.541480567194,1056.616440765246,3769.981644169647,4550.077220204952,506.10490223075317,897.1584260703601,1013.0699229327595,1576.325341520211,2279.8957535843674,4542.107566432156,4671.828151702421,68026.83034453205,20.78905565951845
HD 1397 b,5521.0,2.336,1.324,4.4471631,-66.3589285,7.79,8.6016,0.28042925029443283,42.87366234094577,677.3451344488182,9.544321346973968,138.79530594111736,708.833469425574,10189.203105853323,946.0571317616245,3375.508730958242,4073.9788235013707,1037.0165578000842,1839.0689294565254,2076.7639739117158,768.983445765145,2041.3383268855896,4066.8430763195793,4182.990317737047,139301.42395272595,10.152183102256227
TOI-1431 b,7690.0,1.92,1.9,316.2036922,55.5880221,8.03,2.489,5.279817056748646,230.09032460704907,694.5985365955673,12.70342285067968,210.1974584521359,388.8700710045063,6728.024081676164,767.2683059655974,2263.488426417239,2377.665635422635,469.89270117694963,805.6109416455133,926.4211342429254,1755.4547601904103,689.6343520239175,1785.487706319516,2184.2842344119767,49050.60777356965,28.831723531367285
KELT-11 b,5375.0,2.69,1.44,161.7069053,-9.3993646,8.04,7.1,0.22275287135142985,34.05576052344825,538.0343649458092,6.93536637837762,107.04289370380246,569.2586017818363,13211.652949950645,751.4798914205259,2681.2618915584508,3236.0764071759386,838.4039157844734,1488.3974991650994,1680.9494724984402,950.1585182495826,1621.4926696700436,3230.4082817135873,3322.6673149568187,112450.08460397803,12.576367259781199
HD 118203 b,5742.0,2.04,1.27,203.509956,53.7281876,8.05,5.643,0.658560624215991,50.42123767118916,576.0613673743057,7.869358524708541,127.36630904112515,528.0454537599791,11103.513739386619,789.9921533217488,2584.373985451694,3021.939105819028,765.7108469059204,1301.6024218880775,1470.2029090003095,1086.5173101949722,1406.9844448911226,2897.6445330807537,3052.36324383764,94952.36627748542,14.89392647930698
WASP-33 b,7430.0,1.444,1.495,36.7127375,37.5504441,8.14,2.8536,4.77110390468098,207.92100073975485,627.6736020428696,12.385011879933522,212.76547743055818,394.63149182653757,6646.818738884283,693.3416008896188,2045.4001253084732,2148.5763001372816,477.85639735849827,819.7363994841706,942.7356713100078,1725.2052772854868,623.187719267238,1613.4550261532818,1973.8272988863168,49787.33070077671,28.40508905513653
HD 221416 b,5080.0,2.943,1.212,353.0331863,-21.8012007,8.15,8.6972718,0.20129051496685085,30.774470074226706,486.1944707277926,6.954293402266751,110.07766541763121,596.4059090161346,12847.416022202264,679.0744083950497,2422.9208972184542,2924.27874226969,881.3899889180896,1565.5538996385499,1768.1856991424377,903.3311230610484,1465.2609975919029,2919.156743678644,3002.5265705150186,118122.62723337904,11.972418794741024
HD 149026 b,6179.0,1.41,1.42,247.6229827,38.3475349,8.15,3.19,1.5589771888499404,78.88137021390916,620.4859215124176,8.841424847190565,124.94210445681753,407.65888214981715,11318.951033531499,860.3512555829659,2278.0208906875723,2537.1483019019925,566.1888512165491,911.4080695830066,1034.3185646757556,1551.6798781693203,1048.0271390444657,2313.706772480383,2527.6292655144644,63566.88877636838,22.247644797409734
