#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-02-26T09:20:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-26T09:20:33	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=J/ApJ/856/23/members&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_18560023
#Name: J/ApJ/856/23
#Title: BANYAN. XI. The BANYAN {Sigma} algorithm (Gagne+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	creator=Gagne J.	    First author or institution
#INFO	cites=bibcode:2018ApJ...856...23G	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/856/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18560023	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_856_23_members:
#Name: J/ApJ/856/23/members
#Title: Literature compilation of bona fide members (tables 5 and 7)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Assoc	(a6)	Association short name (G1)	[ucd=meta.id.parent]
#Column	Main	(a27)	Main designation	[ucd=meta.id;meta.main]
#Column	SpT	(a13)	Spectral Type	[ucd=src.spType]
#Column	RAJ2000	(A11)	[0/23]? Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-604/435]? Proper motion in RA, pm*cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	[0.02/20]? Uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-729/356]? Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	[0.01/20]? Uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RVel	(F6.2)	[-23.7/45]? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVel	(F5.2)	[0.03/7]? Uncertainty on RVel	[ucd=stat.error;spect.dopplerVeloc]
#Column	Dist	(F6.2)	[7.1/210]? Trigonometric distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0/30]? Uncertainty on Dist	[ucd=stat.error]
#Column	Comp	(A11)	Companion Flag (G2)	[ucd=meta.code.error]
#Column	r_SpT	(I3)	? Reference for spectral type (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_pm	(I3)	? Reference for proper motion (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_RVel	(a10)	Reference(s) for radial velocity (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_Dist	(I3)	? Reference for trigonometric distance (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
#Column	WISEA	(A19)	ALLWISE designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id.cross]
#Column	Gaia	(I19)	? Gaia-DR1 Source ID (<Gaia DR1 NNNNNNNNNNNNNNNNNNN> in Simbad)	[ucd=meta.id.cross]
#Column	OName	(a42)	Other name(s), separated by ";"	[ucd=meta.id]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
recno	Assoc	Main	SpT	RAJ2000	DEJ2000	pmRA	e_pmRA	pmDE	e_pmDE	RVel	e_RVel	Dist	e_Dist	Comp	r_SpT	r_pm	r_RVel	r_Dist	2MASS	WISEA	Gaia	OName	SimbadName
 	 	 	 	"h:m:s"	"d:m:s"	mas/yr	mas/yr	mas/yr	mas/yr	km/s	km/s	pc	pc	 	 	 	 	 	 	 	 	 	
--------	------	---------------------------	-------------	-----------	-----------	-------	-----	-------	-----	------	-----	------	-----	-----------	---	---	----------	---	-----------------	-------------------	-------------------	------------------------------------------	--------------------------
       1	ABDMG 	2MASS J00192626+4614078    	M8{beta}     	00 19 26.26	+46 14 07.8	 119.40	 0.90	 -75.40	 0.90	-20.00	 3.00	 39.00	 2.00	           	  1	  2	  3       	  2	J00192626+4614078	J001926.39+461406.8	                   	                                          	2MASS J00192626+4614078
       2	ABDMG 	BD+54 144 A                	F8V          	00 45 51.06	+54 58 39.1	  96.40	 0.03	 -73.97	 0.04	-15.00	 2.00	 50.30	 0.90	           	  4	  5	  6       	  5	J00455088+5458402	J004551.02+545839.6	 417565757132068096	HD 4277 A; HIP 3589 A                     	BD+54 144 A
       3	ABDMG 	BD+54 144 B                	K3           	00 45 51.23	+54 58 40.8	       	     	       	     	      	     	      	     	[COMPANION]	  7	   	          	   	                 	                   	                   	HD 4277 B; HIP 3589 B                     	BD+54 144 B
       4	ABDMG 	2MASS J00470038+6803543    	L6-L8{gamma} 	00 47 00.39	+68 03 54.4	 385.00	 1.00	-201.00	 1.00	-20.00	 1.00	 12.20	 0.30	           	   	  2	  8       	  2	J00470038+6803543	J004701.09+680352.2	 529737830321549952	                                          	2MASS J00470038+6803543
       5	ABDMG 	G 132-51 B                 	M2.6         	01 03 42.23	+40 51 13.6	 132.00	 5.00	-164.00	 5.00	-10.60	 0.30	 30.00	 2.00	           	  9	  9	  9       	  9	J01034210+4051158	J010342.24+405114.2	 374400889126932096	                                          	G 132-51 B
       6	ABDMG 	G 132-50                   	M0           	01 03 40.30	+40 51 26.7	 126.90	 0.10	-166.18	 0.09	      	     	 33.00	 0.60	[COMPANION]	 10	  5	          	  5	J01034013+4051288	J010340.24+405127.4	 374400957846408192	                                          	G 132-50
       7	ABDMG 	G 132-51 C                 	M3.8         	01 03 42.44	+40 51 13.3	       	     	       	     	-10.90	 0.40	      	     	[COMPANION]	  9	   	  9       	   	                 	                   	 374400893422315648	                                          	WDS J01037+4051BC
       8	ABDMG 	HIP 6276                   	G0V          	01 20 32.38	-11 28 05.8	 111.44	 0.06	-136.95	 0.05	  8.30	 0.40	 35.10	 0.40	           	 11	  5	 12       	  5	J01203226-1128035	J012032.34-112805.2	2470272808484339200	CD-12 243                                 	HIP 6276
       9	ABDMG 	G 269-153 A                	M4.3         	01 24 27.85	-33 55 11.4	 180.00	20.00	-110.00	20.00	 19.00	 3.00	 25.00	 1.00	           	  9	 13	  9       	  9	J01242767-3355086	J012427.84-335510.0	5015892473055253120	                                          	G 269-153 A
      10	ABDMG 	G 269-153 B                	M4.6         	01 24 27.96	-33 55 09.9	       	     	       	     	 18.00	 1.00	      	     	[COMPANION]	  9	   	  9       	   	                 	                   	5015892473055253248	                                          	G 269-153 B
      11	ABDMG 	G 269-153 C                	M5.0         	01 24 30.83	-33 55 03.7	 160.00	20.00	-110.00	20.00	 18.30	 0.50	      	     	[COMPANION]	  9	  9	  9       	   	                 	                   	5015892507414992640	                                          	GJ 2022 C
      12	ABDMG 	HS Psc                     	K5Ve         	01 37 23.37	+26 57 10.2	 118.00	 1.00	-128.00	 0.40	 -6.00	 3.00	 37.60	 0.50	           	 14	  5	 15       	  5	J01372322+2657119	J013723.32+265710.7	 295713102534550272	                                          	HS Psc
      13	ABDMG 	BD+37 604 Aab              	G5V          	02 42 21.41	+38 37 05.6	  79.00	 2.00	-108.00	 2.00	 -4.20	 0.20	 46.00	 5.00	           	 11	 16	  6       	 16	J02422130+3837073	J024221.37+383706.2	 334156701966277504	HD 16760; HIP 12638                       	2MASS J02422130+3837073
      14	ABDMG 	BD+37 604 B                	K3.5V        	02 42 21.06	+38 37 19.5	  83.10	 0.10	-107.41	 0.08	 -4.10	 0.30	 50.10	 0.90	[COMPANION]	 11	  5	 17       	  5	J02422094+3837212	J024221.03+383719.8	 334156701966277376	HD 16760 B; HIP 12635                     	BD+37 604 B
