tmass_id,source_id,phot_g_mean_mag,bp_rp,parallax,parallax_over_error,ruwe,teff_gspphot,Assoc,assoc_age_myr,v_est,distance_pc
08475676-7854532,5209118305765620096,12.038719,2.4591885,10.283699328372531,290.6668,2.726142,,ETAC,11.0,12.438625203088781,97.24127165416233
12014343-7835472,5788603818854455680,17.111105,2.2212667,9.547067174852927,132.13441,1.230688,3383.0454,EPSC,4.0,17.495922202767115,104.74420905238944
11515049-6407278,5332922112460126976,11.764443,1.1170244,6.682908497084121,688.70435,0.70236737,5400.9424,LCC,15.0,11.941900322094584,149.63544696688857
13223793-6059182,5869474548409857024,4.471185,-0.18620491,8.882440963980791,68.68161,0.9434324,13791.946,LCC,15.0,4.493809144579799,112.58166578929176
12383556-5916438,6059887422284508800,11.240363,1.3870544,10.04770603801661,630.40857,1.0498704,4652.3066,LCC,15.0,11.47832543819383,99.52520468019159
02235464-5815067,4738287468036620160,20.259575,2.6333694,25.168525904695013,56.646,1.1033366,,THA,45.0,20.65888472166575,39.73216404435736
12462271-5629198,6061204980842862336,4.6112127,-0.22097445,9.732630667009275,57.84844,1.6510359,,LCC,15.0,4.636248963893755,102.7471435230459
12175319-5558319,6072902994276659200,7.6992536,0.5923443,9.767262008960786,527.02966,0.91877633,6401.631,LCC,15.0,7.772157044687189,102.38283759384863
08440521-5253171,5318512260971706496,10.623612,0.8293047,6.496074493012777,292.42203,1.9191829,5806.8145,IC2391,50.0,10.739863923214127,153.93912139948625
08400164-5242126,5318567958108066944,8.482912,0.33461857,6.688841272618538,442.89972,1.013665,7506.1826,IC2391,50.0,8.520482512935725,149.50272539634082
08480022-5251006,5318412686452956800,6.2689447,-0.11723328,6.805372635842287,170.2816,1.2040833,12184.823,IC2391,50.0,6.288194805619222,146.9427250365743
13132334-5041592,6080835764501389568,6.5382614,-0.018410206,,,,,LCC,15.0,6.555794109369987,
13061672-4827480,6085229378603010688,4.6672645,-0.19635725,8.159218297010217,52.324425,0.9711636,13243.873,LCC,15.0,4.690542560362953,122.56076055305815
11395113-3159214,3478519134297202560,17.328337,5.049095,21.409089728936245,91.38721,2.2008982,,TWA,10.0,15.893254944293208,46.70913208647134
05253253+0625336,3237973752806799360,13.3810215,2.4958076,10.027137545555256,581.49567,1.1458522,3530.5938,THOR,22.0,13.781682657297784,99.72935899770034
05132631+1057439,3387055125667571968,13.957114,2.6743813,8.86205336165174,415.35614,1.1810094,3433.8127,THOR,22.0,14.354668826736047,112.84066560998643
04032494+1724261,46622664569875840,11.200492,1.3589945,8.385309476295825,318.34714,1.6607958,4672.7583,TAU,1.5,11.432193689950003,119.25618283104153
04152292+2044169,49340897830486912,10.402189,0.98114586,8.170029603449377,340.9334,1.2245021,5245.569,TAU,1.5,10.549937652087873,122.39857730476291
04352737+2414589,147606657186323712,11.460606,1.8326082,7.776009335477387,352.58093,1.1195259,5865.233,TAU,1.5,11.790217820914663,128.60066865372502
04430309+2520187,148106316500918272,13.82833,2.6261616,7.0233466338802195,351.37338,1.1825229,3622.279,TAU,1.5,14.227882097365711,142.38226477048102
12043615-7731345,5836756960654872832,12.549978,2.5142355,9.906486041976835,620.48535,1.2745423,3674.5195,EPSC,4.0,12.950847656348532,100.94396698917171
08422372-7904030,5209019521517870080,11.906398,2.0625753,10.136619904508594,837.87573,1.084209,3860.9421,ETAC,11.0,12.272589891253514,98.65221438906052
00135300-7441178,4688292536884945536,8.654307,0.95307827,21.80349059153779,1878.7452,0.8346544,5486.363,THA,45.0,8.796072178458527,45.86421590624175
12192161-6454101,6053028978057952256,9.695538,1.2736187,9.26197722825057,54.1459,11.185748,5304.7007,LCC,15.0,9.90808310419581,107.96830691289477
12411820-5825558,6059997201683638016,9.621331,0.9570675,9.386123502204779,113.02154,5.19939,5342.278,LCC,15.0,9.763942568222273,106.5402559176962
12185802-5737191,6071727753787733120,9.564868,1.1988916,9.125918682726079,96.95331,7.8173847,5325.78,LCC,15.0,9.76061660624162,109.57800904941679
05471708-5103594,4792774797545800832,3.8232422,0.2614324,50.930690628822894,343.63672,3.0716627,7938.053,BPMG,24.0,3.8536539025650387,19.6345266018065
12313807-4558593,6132146982868270976,12.059723,2.5204325,12.467755295246258,518.49164,1.435218,,TWA,10.0,12.46063606162034,80.20689982432387
14280929-4414175,6099512000288926208,9.631029,0.9913492,8.342144576303298,426.8199,1.133636,5233.7207,UCL,16.0,9.780967972747712,119.87325211799862
05581182-3500496,2889149393928673664,11.06885,0.9580126,7.393438561716628,577.4807,1.0257944,5353.287,OCT,35.0,11.21166166621211,135.25506320942733
11015191-3442170,5401795662560500352,10.450887,1.6450739,16.628881208611332,1105.4325,1.1752217,3848.2793,TWA,10.0,10.744337248663797,60.13633674177346
12072738-3247002,3466308095597260032,11.45259,2.6104631,17.59978941634374,197.49065,4.326711,3617.3923,TWA,10.0,11.852602107225344,56.81886165475181
11091380-3001398,5452498541764280832,10.480473,2.2534227,21.76931849822443,106.34346,8.792124,,TWA,10.0,10.86828701747824,45.936210638911966
04571766+1525094,3392887175858116864,10.700015,1.1819534,6.582101300821209,25.495714,6.323626,,TAU,1.5,10.891965101478311,151.92716646205918
04525015+1622092,3405202462005029760,11.764128,1.6643744,4.764803737821586,11.542948,21.132835,,TAU,1.5,12.061503179030865,209.87223294472747
04465305+1700001,3406269842981827712,12.456193,2.3508692,5.118194003702254,279.58972,1.0482538,8147.8975,TAU,1.5,12.85132461328313,195.38141760094445
04525707+1919504,3406967556126256128,11.922084,1.5007286,7.725669481152097,66.44734,7.2905326,,TAU,1.5,12.18506113542951,129.43862048973835
04051959+2009256,51886335968692480,10.080556,1.1182718,9.257706336697265,468.65192,1.0351886,4940.6465,TAU,1.5,10.258289969703577,108.01811632715444
04270280+2542223,151179966897747840,11.05881,2.1036825,5.667196863297122,11.338631,21.924578,,TAU,1.5,11.430405609068805,176.45407846626478
04361909+2542589,148037764527442944,11.233383,1.5326538,7.800229099241554,282.05106,1.2832052,4515.5312,TAU,1.5,11.503248688595184,128.20136271346615
04184703+2820073,164513538249595136,11.654335,2.364769,7.849687600705467,81.27784,5.4960723,,TAU,1.5,12.050283830075003,127.39360479901494
04215740+2826355,164551162164119424,10.705952,1.4351463,7.2348709398574105,35.61453,13.281019,5919.22,TAU,1.5,10.95457601402582,138.21946629219465
04591545+3753299,198776553956316928,7.6847825,0.7015033,20.43940279535428,897.5743,0.8535248,6009.966,COL,42.0,7.776596873915969,48.92510852750024
11183572-7935548,5199797745697026560,13.867806,3.0245638,10.250210513323017,136.53714,6.8199487,,EPSC,4.0,14.2217563809122,97.55897195479255
12113815-7110360,5854812388999707008,8.844763,0.93237686,9.465599873776393,735.75104,0.8239649,5588.551,EPSC,4.0,8.982156532438605,105.64570796726909
11515121-6512216,5332396137919486208,4.9904294,-0.19759178,8.67930416852216,67.635895,1.2724365,15165.749,LCC,15.0,5.0137898554849265,115.21660960181232
12474180-5825558,6059865260290146816,8.118531,0.5078659,7.768051843929037,32.088776,11.019625,,LCC,15.0,8.178281214045715,128.73240551059527
13543830-5544179,5872473775580652800,7.2154517,0.38147497,10.934924862506502,125.104195,2.3673205,7367.5874,LCC,15.0,7.258327510589218,91.4501025451747
13064012-5159386,6080364825623490688,10.299483,1.1278362,8.723367553658099,566.34503,0.9229159,5121.468,LCC,15.0,10.4793441849706,114.63462863956194
10131476-5230540,5356713413789909632,9.476738,1.2706661,18.837762286259164,1692.4487,0.90277964,,CAR,45.0,9.68861951530835,53.08486139722818
13493700-4228255,6109087784495371648,3.4261973,-0.09446168,7.326930145519016,14.2003765,5.777326,19977.424,UCL,16.0,3.4447334013398643,136.48280796174606
14281937-4219341,6103240203697723392,10.123561,0.9394846,7.290280187184262,363.72354,1.0853163,5199.1216,UCL,16.0,10.262451209349598,137.16893923472531
12073346-3932539,3459372646830687104,17.388071,4.2709427,15.462390770449133,132.94765,1.0682011,,TWA,10.0,17.02168650056421,64.67305184856308
11210549-3845163,5396105586807802880,11.683201,2.3112965,15.289560702134553,794.7271,1.1042686,,TWA,10.0,12.075690632585163,65.40410280462744
04142257-3819016,4844618213903654784,8.946541,0.77020264,12.6063010480978,1149.0725,0.9477308,5828.6987,COL,42.0,9.05121653534609,79.32541006157336
11321822-3018316,3481965995873045888,18.537968,2.7704449,21.424560324831603,99.18692,1.236248,,TWA,10.0,18.928813577244895,46.675403594676105
04593483+0147007,3231945508509506176,9.322068,1.9014368,40.98991853704772,3205.171,0.89986295,3602.1848,BPMG,24.0,9.663655936492091,24.396242678457018
06422431+1738430,3359404435457443456,5.2046046,0.08575249,20.35118514880448,30.260273,8.173168,,COL,42.0,5.224037594932275,49.13718747523382
04381561+2302276,146675954953119104,12.9536705,2.0042439,7.925443129634357,437.27374,0.95019937,4043.8704,TAU,1.5,13.31155854061019,126.17591012177704
05223346+2439197,3417331587088694016,16.40806,3.7075872,5.437221726081245,89.293594,0.90583324,,TAU,1.5,16.494772191449,183.91745828631628
04410470+2451062,148063641705483776,12.672102,,7.025762135432773,27.28298,2.5502706,,TAU,1.5,,142.3333128454116
04180796+2826036,164513022853468160,15.722392,4.221406,8.019862068864061,88.66932,1.5396016,,TAU,1.5,15.405680556565269,124.69042377703146
06461348-8359294,5194203331750283392,7.368714,0.59105015,17.343805856905767,1046.2235,1.0316806,6444.2217,THA,45.0,7.441405544993545,57.657471967251695
08431857-7905181,5209024366240981632,13.34008,2.3349733,9.675595612967541,43.02504,25.2843,,ETAC,11.0,13.73420628838935,103.35281051429725
06182824-7202416,5266270443442455040,9.272832,1.4126654,25.565848170862576,2024.8687,0.84345603,4398.954,BPMG,24.0,9.516484286514372,39.11468116828219
